,cycle,consumed,allocated,available
0,2013,16.907530379999997,9.245,27.92511154929495
1,2014,24.596786380000008,25.829,39.62880926364696
2,2015,26.09143073,43.630671,34.93516371271536
3,2016,25.797904820000007,51.736375,34.99911473918592
4,2017,61.46277031000002,84.270426,127.59511070379847
5,2018,99.80739164299072,106.894557,153.02703274082532
