,account,allocation,Unnamed: 0,jobs,su,users,avg_cores,avg_nodes,cpuhours,cycle,Usage,Usage_Portion,SU_job,SU_user,Job_user
6,pi-dinner,0.5,11.0,49793.0,0.68545062,13.0,8.1733,1.199,685215.5008,2014.0,685450.62,1.0,13.766003655132247,52726.97076923077,3830.230769230769
6,pi-dinner,0.5,14.0,83742.0,0.46254477,16.0,1.9355,1.0711,462096.3008,2015.0,462544.77,0.92508954,5.523450240022928,28909.048125,5233.875
6,pi-dinner,0.5,16.0,39309.0,0.49339074,13.0,2.1863,1.0159,493194.0778,2016.0,493390.74,0.98678148,12.551597344119667,37953.13384615385,3023.769230769231
6,pi-dinner,0.5,7.0,101190.0,1.9764445400000001,19.0,5.6343,1.0427,1843194.4689,2017.0,1976444.54,1.0,19.532014428303192,104023.39684210527,5325.789473684211
6,pi-dinner,0.5,6.0,142759.0,2.30071815,18.0,5.3461,1.0132,1747709.0528,2018.0,2300718.15,1.0,16.116098809882388,127817.67499999999,7931.055555555556
7,pi-roux,0.5,2.0,4913.0,1.62807321,11.0,37.9546,2.9689,1628057.9467,2013.0,1628073.21,1.0,331.3806655811113,148006.65545454546,446.6363636363636
7,pi-roux,0.5,2.0,10322.0,2.03758681,8.0,27.5703,2.1465,2037545.9414,2014.0,2037586.81,1.0,197.4023260995931,254698.35125,1290.25
7,pi-roux,0.5,1.0,28510.0,3.49895765,14.0,21.0941,1.6391,3498851.6953,2015.0,3498957.65,1.0,122.72738162048404,249925.54642857143,2036.4285714285713
7,pi-roux,0.5,6.0,13040.0,0.9789212700000001,17.0,18.7965,1.3178,978864.3533,2016.0,978921.27,1.0,75.07064953987731,57583.60411764706,767.0588235294117
7,pi-roux,0.5,5.0,11055.0,2.08198997,17.0,42.4285,1.97,2810231.3544,2017.0,2081989.97,1.0,188.3301646313885,122469.99823529412,650.2941176470588
7,pi-roux,0.5,7.0,5219.0,2.03436687,14.0,47.5758,2.3206,1617424.2631,2018.0,2034366.87,1.0,389.80012837708375,145311.9192857143,372.7857142857143
8,pi-eperozo,0.5,8.0,459.0,0.50668118,1.0,94.2484,6.7059,506680.0,2013.0,506681.18,1.0,1103.8805664488018,506681.18,459.0
8,pi-eperozo,0.5,12.0,323.0,0.54093996,1.0,135.7276,8.7864,540938.6667,2014.0,540939.96,1.0,1674.7367182662538,540939.96,323.0
8,pi-eperozo,0.5,44.0,38.0,0.10674622,2.0,233.8421,14.5,106746.0844,2016.0,106746.22,0.21349244,2809.111052631579,53373.11,19.0
8,pi-eperozo,0.5,110.0,3.0,0.00611032,1.0,320.0,20.0,6110.3111,2017.0,6110.32,0.01222064,2036.7733333333333,6110.32,3.0
8,pi-eperozo,0.5,212.0,1.0,0.0,1.0,1.0,1.0,0.0003,2018.0,0.0,0.0,0.0,0.0,1.0
9,pi-dbiron,0.3,5.0,2766.0,0.70728927,6.0,60.5383,4.1186,707277.7431,2013.0,707289.27,1.0,255.70834056399133,117881.545,461.0
