Usage,allocation,Usage_Portion_n,Next_Portion,users,jobs,SU_job,SU_user,Job_user
6.90999238,1.4,4.935708842857143,2.799717715,30,128027,53.97293055371133,230333.07933333333,4267.566666666667
2.4404844199999998,2.494,0.9785422694466719,1.6672998867924531,27,16609,146.937468842194,90388.31185185185,615.1481481481482
2.03758681,2.0,1.018793405,3.25614642,8,10322,197.4023260995931,254698.35125,1290.25
1.30980549,1.3,1.0075426846153845,2.3576309,7,3770,347.42851193633953,187115.07,538.5714285714286
1.24979113,1.5,0.8331940866666666,8.5806832,3,922,1355.5218329718002,416597.0433333333,307.3333333333333
1.0941338200000001,1.15,0.9514207130434784,1.9640490714285714,10,34035,32.14731364771559,109413.38200000001,3403.5
1.00552057,1.0,1.00552057,0.22472351999999998,9,149013,6.747871460879252,111724.50777777778,16557.0
0.81403577,1.0,0.81403577,1.0258304,1,188,4329.9775,814035.77,188.0
0.7251241500000001,0.65,1.1155756153846155,3.962631818181818,3,2746,264.0656045156592,241708.05000000002,915.3333333333334
0.68545062,1.0,0.68545062,1.03423726,13,49793,13.766003655132247,52726.97076923077,3830.230769230769
0.54093996,0.5,1.08187992,1.01336236,1,323,1674.7367182662538,540939.96,323.0
0.46172849,0.557,0.8289559964093356,0.588904375,3,674,685.0571068249258,153909.49666666667,224.66666666666666
0.20226016,0.55,0.3677457454545454,1.0055238,1,699,289.356452074392,202260.16,699.0
0.16976660000000002,0.5,0.33953320000000003,0.99743412,2,250,679.0664,84883.3,125.0
0.16265884,1.098,0.14814102003642987,0.1581652,4,478,340.290460251046,40664.71,119.5
0.06725171,0.14,0.48036935714285717,0.0087063125,3,5838,11.519648852346695,22417.236666666668,1946.0
0.06555064,0.06,1.0925106666666666,0.579982,4,9641,6.799153614770252,16387.66,2410.25
0.06037907,0.08,0.754738375,0.8068678666666667,3,337,179.16637982195846,20126.356666666667,112.33333333333333
0.05981442,0.2,0.2990721,1.6528928571428572,4,11561,5.173810224029063,14953.605,2890.25
0.05883821,0.066,0.8914880303030303,1.37728,9,5013,11.737125473768202,6537.578888888889,557.0
0.056171080000000005,0.054,1.0402051851851852,0.5513410204081632,8,8748,6.4210196616369455,7021.385,1093.5
0.04536221,0.305,0.14872855737704918,0.0220854,4,536,84.63098880597015,11340.5525,134.0
0.03171827,0.05,0.6343654,2.6575811999999996,6,7460,4.2517788203753355,5286.378333333333,1243.3333333333333
0.02867389,0.049,0.5851814285714285,0.1349802,7,138970,0.2063315103979276,4096.2699999999995,19852.85714285714
0.02441965,0.25,0.0976786,0.523778,8,4279,5.7068590792241185,3052.45625,534.875
0.02216866,0.05,0.44337319999999997,0.1292488,1,384,57.730885416666666,22168.66,384.0
0.009616930000000001,0.079,0.12173329113924052,0.28160389999999996,2,28756,0.334432118514397,4808.465,14378.0
0.00921665,0.06,0.15361083333333334,0.49900677777777785,1,5,1843.33,9216.65,5.0
0.0049669499999999995,0.05,0.09933899999999998,0.0341628,6,336,14.782589285714286,827.8249999999999,56.0
0.0030516,0.05,0.061031999999999996,0.018811599999999998,6,553,5.518264014466546,508.59999999999997,92.16666666666667
0.0012384400000000002,0.05,0.0247688,0.3627311,2,43,28.80093023255814,619.22,21.5
0.0006218899999999999,0.044,0.014133863636363635,0.23430299999999996,1,634,0.9808990536277602,621.89,634.0
4.843e-05,0.031,0.0015622580645161292,0.1974874193548387,1,49,0.9883673469387755,48.43,49.0
4.27583158,2.0,2.13791579,4.935708842857143,30,9039,473.0425467418962,142527.71933333334,301.3
3.49895765,3.5,0.9997021857142857,1.018793405,14,28510,122.72738162048404,249925.54642857143,2036.4285714285713
3.17067067,3.61056,0.8781658994726579,0.9785422694466719,31,29587,107.16431777469835,102279.69903225807,954.4193548387096
1.15167256,1.1,1.0469750545454544,0.9514207130434784,12,27978,41.16350561155193,95972.71333333333,2331.5
1.09683249,1.4,0.7834517785714286,1.0075426846153845,7,3691,297.16404497426174,156690.35571428572,527.2857142857143
0.9991569,1.0,0.9991569,0.10082187499999999,11,16141,61.90179666687318,90832.44545454545,1467.3636363636363
0.87149228,1.5,0.5809948533333333,1.00552057,6,209460,4.160662083452688,145248.71333333335,34910.0
0.78703265,1.0,0.78703265,0.14814102003642987,8,1414,556.6001768033947,98379.08125,176.75
0.72588899,1.0,0.72588899,1.031204411764706,5,1032,703.3808042635659,145177.798,206.4
0.60949631,0.7,0.8707090142857143,0.8289559964093356,3,274,2224.439087591241,203165.43666666668,91.33333333333333
0.5040046,1.0,0.5040046,0.1911136,3,586,860.076109215017,168001.53333333333,195.33333333333334
0.46533568,0.4,1.1633391999999998,1.1468892,4,11519,40.39722892612206,116333.92,2879.75
0.46254477,1.0,0.46254477,0.68545062,16,83742,5.523450240022928,28909.048125,5233.875
0.46202769,0.6,0.77004615,0.8331940866666666,9,2755,167.70515063520872,51336.41,306.1111111111111
0.323287,0.506,0.6389071146245059,0.48036935714285717,3,4579,70.60209652762612,107762.33333333333,1526.3333333333333
0.31448824,0.9,0.3494313777777777,1.1155756153846155,3,45543,6.905303559273653,104829.41333333333,15181.0
0.27139342,0.2895,0.9374556822107082,1.1439964666666667,2,401737,0.6755499742368763,135696.71,200868.5
0.26546397,0.4,0.6636599249999999,0.34869843333333334,1,2315,114.67126133909287,265463.97,2315.0
0.25570778,1.0,0.25570778,0.09624397272727271,3,11605,22.034276604911675,85235.92666666667,3868.3333333333335
0.25015084,1.5,0.16676722666666666,0.81403577,1,36,6948.634444444444,250150.84,36.0
0.22400944,0.5,0.44801888,0.7374254285714287,4,643,348.38171073094867,56002.36,160.75
