cycle,su,su_projected
2013,16907530.38,16907530.38
2014,24596786.380000006,24596786.380000006
2015,26091430.73,26091430.73
2016,25797904.820000008,25797904.820000008
2017,61462770.31000002,61462770.31000002
2018,54507603.84000004,92968576.64299072
