account,allocation
pi-gavoth,6548000.0
pi-depablo,6000000.0
pi-gagalli,3000000.0
pi-arzhetsky,2830000.0
pi-trsosnic,2550000.0
pi-hortacsu,2310000.0
pi-freed,2200000.0
pi-roux,2100000.0
pi-whu5,2050000.0
pi-taddy,2000000.0
pi-hankhoffmann,2000000.0
pi-bkeenan,1950000.0
pi-mstephens,1916000.0
pi-dinner,1750000.0
pi-ghitsch,1602619.0
pi-kravtsov,1500000.0
pi-yanjingl,1400000.0
pi-abbot,1395000.0
pi-neiman,1235000.0
pi-cobey,1150000.0
pi-ishanu,1100000.0
pi-vavra,1053784.0
pi-nnn,1044484.0
pi-haky,1041506.0
pi-sdodelso,1027655.0
pi-ggreene,1005000.0
pi-gdwyer,1000000.0
pi-kite,1000000.0
pi-joshuaelliott,1000000.0
pi-mkre,1000000.0
pi-rkessler,1000000.0
pi-drowley,1000000.0
pi-svaikunt,1000000.0
pi-jaredlewis,1000000.0
pi-mfj,1000000.0
pi-nfschere,1000000.0
pi-jevans,1000000.0
pi-lgrandi,1000000.0
pi-pascualmm,850000.0
pi-aaz,750000.0
pi-avieregg,600000.0
pi-wenbinlin,570000.0
pi-jaeger,560674.0
pi-jheckman,555000.0
pi-jlskinner,550000.0
pi-burhan,550000.0
pi-ejadams,544000.0
pi-scrosson,505071.0
pi-dholz,500000.0
pi-mkronforst,480000.0
pi-vmbertho,460000.0
pi-amurugan,453673.0
pi-stin,450585.0
pi-tintelnot,450000.0
pi-aachien,438569.0
pi-xinhe,424982.0
pi-jdingel,424242.0
pi-l332,406284.0
pi-moyer,360551.0
pi-dbiron,350000.0
pi-ftchong,250000.0
pi-rossc,250000.0
pi-nbrunel,216163.0
pi-gilad,209258.0
pi-price,205000.0
pi-fciesla,200000.0
pi-jozik,200000.0
pi-vzhorin,200000.0
pi-jnovembre,164000.0
pi-khanna7,163000.0
pi-dachxiu,150000.0
pi-kazutaka,150000.0
pi-eperozo,143081.0
pi-sibener,111832.0
pi-tokmakoff,108054.0
pi-aclyu,100001.0
rcc-staff,100000.0
pi-rtp1,100000.0
pi-gan1,100000.0
pi-nicho,100000.0
pi-priviter,100000.0
pi-sepalmer,100000.0
pi-jagoldsm,100000.0
pi-gmatvos,97000.0
pi-rayid,94915.0
pi-collar,91760.0
pi-mlcoleman,81117.0
pi-wtmirvine,57644.0
pi-blattman,55000.0
pi-xisong,55000.0
pi-sshahul,55000.0
pi-lafferty,55000.0
pi-oto,54998.0
pi-gkaplan,54995.0
pi-tcovert,54944.0
pi-berkelbach,51769.0
pi-mkolar,50385.0
pi-littlewood,50160.0
pi-bkelly0,50145.0
pi-levin,50018.0
pi-bata,50000.0
pi-emir,50000.0
pi-tzeferacos,50000.0
pi-joet1,50000.0
pi-rwg,50000.0
pi-dfreedman,50000.0
pi-hema,50000.0
pi-jrussell,50000.0
pi-srnagel,50000.0
pi-fritziea,50000.0
pi-rtsay,50000.0
