account,allocation
pi-jstubbs1,50000.0
pi-thomaswinberry,50000.0
pi-jsolway,50000.0
pi-bermanm,50000.0
pi-adrobyshevsky,50000.0
pi-lekheng,49998.0
pi-aolinto,49785.0
pi-cpel,49000.0
pi-skeedy,45527.0
pi-kkawaji,45000.0
pi-btian,44955.0
pi-lamadon,44774.0
pi-risi,43285.0
pi-pchintag,42667.0
pi-mengjiechen,41000.0
pi-wilsonp,40587.0
pi-tten,35128.0
pi-stuartrowan,35000.0
pi-cosar,33000.0
pi-rrock,30885.0
pi-gilbertjack,30272.0
pi-kavibhalla,30000.0
pi-richardjeanso,27882.0
pi-adirienz,26957.0
pi-dpope,25198.0
pi-weberm,25000.0
pi-jfrieman,24933.0
pi-wilde,24585.0
pi-weyl,23000.0
pi-dhooper,22871.0
pi-rjlalond,15720.0
pi-hickmanbr,15000.0
pi-gsengel,10000.0
pi-jhuangime,10000.0
pi-liantaow,8942.0
pi-jinbo,7092.0
pi-gskarczm,5543.0
pi-mwxt,5001.0
pi-berry,5000.0
pi-jgrogger,5000.0
pi-pmason,5000.0
pi-danblack,5000.0
pi-rhuang1,5000.0
pi-anitarao,5000.0
pi-dschloen,5000.0
pi-nahee,5000.0
pi-weare,5000.0
pi-evtimov,5000.0
pi-llu4,5000.0
pi-slv,5000.0
pi-haryadi,5000.0
pi-rina,5000.0
pi-anitescu,5000.0
pi-dskinner,5000.0
pi-imoskowitz,5000.0
pi-kekeenan,5000.0
pi-ebudish,5000.0
pi-borja,5000.0
pi-fazeredo,5000.0
pi-jhj1,5000.0
pi-london,5000.0
pi-soltoffbc,5000.0
pi-deisenst,5000.0
pi-hcn1,5000.0
pi-jpanta,5000.0
pi-misra,5000.0
pi-rljacob,5000.0
pi-anselin,5000.0
pi-dsuskind,5000.0
pi-irebay,5000.0
pi-kelloggr,5000.0
pi-nikolaev,5000.0
pi-sgreeley,5000.0
pi-wgreen,5000.0
pi-bridgetm,5000.0
pi-ferrier,5000.0
pi-jhr,5000.0
pi-lorettaau,5000.0
pi-rot8,5000.0
pi-uschmid,5000.0
pi-archer,5000.0
pi-dvtalapin,5000.0
pi-jabadner,5000.0
pi-nlaiteerapong,5000.0
pi-sgsg,5000.0
pi-wkang,5000.0
pi-cacioppos,5000.0
pi-fsmiel,5000.0
pi-ls28,5000.0
pi-ptoulis,5000.0
pi-ssammet,5000.0
pi-ad15,5000.0
pi-dgallo,5000.0
pi-jridgway,5000.0
pi-mlong,5000.0
pi-royce,5000.0
pi-dyork,5000.0
pi-kjacobson,5000.0
pi-npmarwel,5000.0
pi-shakhnarovich,5000.0
pi-woodward,5000.0
pi-casasanto,5000.0
pi-gentzkow,5000.0
pi-lupingyu,5000.0
pi-pvprasad,5000.0
pi-dglick2,5000.0
pi-jsalavon,5000.0
pi-mludwig,5000.0
pi-rree,5000.0
pi-vikramvd,5000.0
pi-avoena,5000.0
pi-eatock,5000.0
pi-jand312,5000.0
pi-kpomeranz1,5000.0
pi-nsatkinson,5000.0
pi-shrayesh,5000.0
pi-wulongtao,5000.0
pi-cchen3,5000.0
pi-jkline,5000.0
pi-dinosaur,5000.0
pi-hhalpern,5000.0
pi-mnewvill,5000.0
pi-rrosner,5000.0
pi-vishwanath,5000.0
pi-wvandron,5000.0
pi-ebchang,5000.0
pi-jcaciopp,5000.0
pi-ossa,5000.0
pi-gnedin,5000.0
pi-cchin,5000.0
pi-jlist,5000.0
pi-meren,5000.0
pi-r6t1,5000.0
pi-tanum,5000.0
pi-akalil,5000.0
pi-histed,5000.0
pi-jtkubota,5000.0
pi-mpho1,5000.0
pi-rwevans,5000.0
pi-vprince,5000.0
pi-babenson,5000.0
pi-eclaud,5000.0
pi-jcloutier,5000.0
pi-simonjon,5000.0
pi-goldschmidta,5000.0
pi-jlmartin,5000.0
pi-mets,5000.0
pi-razborov,5000.0
pi-akwalker,5000.0
pi-dmustafi,5000.0
pi-hoytlong,5000.0
pi-jtruran,5000.0
pi-mrsharma,5000.0
pi-rwiersma,5000.0
pi-wakely,5000.0
pi-zaluzec,5000.0
pi-ecoccaro,5000.0
pi-jcowan,5000.0
pi-ozidar,5000.0
pi-skron,5000.0
pi-cnagler1,5000.0
pi-grenoble,5000.0
pi-jmstewar,5000.0
pi-mgilliam1,5000.0
pi-rcohen,5000.0
pi-tnclark,5000.0
pi-anants,5000.0
pi-dom2,5000.0
pi-hsaussy,5000.0
pi-jwal,5000.0
pi-mwestnea,5000.0
pi-rwittenb,5000.0
pi-zke,5000.0
pi-jfanning,5000.0
pi-slambert,5000.0
pi-dadrummond,5000.0
pi-gruzberg,5000.0
pi-jnye,5000.0
pi-mglotzer,5000.0
pi-rezorach,5000.0
pi-tspolons,5000.0
pi-anc,5000.0
pi-hungwu,5000.0
pi-kalindsey,5000.0
pi-wcong,5000.0
pi-pjlarivi,4999.0
pi-nealey,4998.0
pi-mhereld,4997.0
pi-kettimut,4997.0
pi-jstaley,4997.0
pi-jpadgett,4996.0
pi-sraudenb,4996.0
pi-vbindoka,4989.0
pi-dbrentari,4985.0
pi-jongrant,4983.0
pi-qitiguo,4982.0
pi-malegre,4978.0
pi-sethi,4971.0
pi-egrove,4968.0
pi-tuecke,4964.0
pi-jponticelli,4955.0
pi-ajaved,4954.0
pi-emunro,4951.0
pi-hdew,4940.0
pi-drubin8,4931.0
pi-jhubbell,4925.0
pi-gulotty,4920.0
pi-sarice,4917.0
pi-fabrycky,4904.0
pi-abinkowski,4858.0
pi-siegela,4849.0
pi-tanhuan,4831.0
pi-hfrisch,4801.0
pi-pricet,4794.0
pi-mhale,4616.0
pi-abney,4570.0
pi-larogers,4511.0
pi-iawad,4510.0
pi-asufi,4488.0
pi-dis,4357.0
pi-sokolov,4109.0
pi-ckao95,3601.0
pi-awsch,3564.0
pi-sliman,3540.0
pi-scicala,2016.0
pi-yaliamit,2000.0
pi-kcharles,1868.0
pi-foster,1392.0
pi-prhahn,922.0
pi-wbwu,277.0
pi-blase,250.0
