account,jobs,su,users,cpuhours,cycle
pi-depablo,361398,4494578.96,35,16098964.645,2015
pi-gavoth,89863,3620870.03,32,20315344.6464,2015
pi-roux,74744,3501293.27,21,5917668.0778,2015
pi-freed,41781,1200897.97,12,1544804.2944,2015
pi-dbiron,3803,1096899.54,7,1097706.0311,2015
pi-gagalli,111122,1000469.23,18,8165497.9292,2015
pi-mfj,1636,979190.51,2,979183.6978,2015
pi-joshuaelliott,235800,871574.03,6,939778.8136,2015
pi-svaikunt,196773,844403.57,8,1740230.6944,2015
pi-taddy,1774,787109.73,9,793768.3044,2015
pi-hortacsu,1034,725888.99,7,725893.5878,2015
pi-akonigl,274,609496.31,3,609495.1422,2015
pi-whu5,586,504004.6,3,504002.4086,2015
pi-tintelnot,11745,480898.09,4,481273.8558,2015
pi-dinner,86116,466775.63,16,495548.9772,2015
pi-kravtsov,3657,462444.12,9,513151.1617,2015
pi-fabrycky,17827,324868.89,4,592831.2761,2015
pi-abbot,45543,314488.24,3,314256.6836,2015
pi-ehurst,716847,290225.82,2,516817.9569,2015
pi-vzhorin,2467,275028.72,1,275075.8519,2015
pi-collar,401737,271393.42,2,269107.4661,2015
pi-kite,13854,257320.16,3,291849.3603,2015
pi-drowley,36,250150.84,1,250150.6811,2015
pi-aachien,651,224726.26,4,224723.895,2015
pi-sibener,2451,203853.19,1,203843.3408,2015
pi-ishanu,26243,200762.34,1,200653.8622,2015
pi-jaredlewis,201,187093.71,4,187092.9147,2015
pi-mstephens,7360,179533.73,7,186584.8425,2015
pi-foster,834,168489.06,4,168485.4114,2015
pi-tas1,2857,160060.9,2,160047.4628,2015
pi-neiman,1773,114130.71,3,147705.6411,2015
pi-jinbo,62605,101949.23,4,101656.695,2015
pi-rjlalond,1569,99699.05,1,105086.9342,2015
pi-wtang,68,99005.38,2,99005.12,2015
pi-jozik,27176,89171.11,5,89036.2675,2015
rcc-staff,9289,78711.24,19,96573.1006,2015
pi-sdodelso,563,70526.38,3,70523.9917,2015
pi-pascualmm,334022,70063.4,6,68721.4794,2015
pi-cobey,345642,69586.03,10,68828.9083,2015
pi-dvtalapin,120,65813.72,2,65813.3683,2015
pi-wenbinlin,610,64985.89,8,64983.3089,2015
pi-aaz,209,62977.67,6,67677.4386,2015
pi-nicho,9073,60025.82,6,159216.7792,2015
pi-rkessler,125080,59182.8,8,58478.4983,2015
msca,1193,55718.5,31,55861.5569,2015
pi-rwg,6550,55511.59,5,55476.6736,2015
pi-levin,868,53202.83,4,53199.9556,2015
pi-jfrieman,508,51226.42,1,51224.3383,2015
pi-gdwyer,22183,48295.7,5,48186.2464,2015
pi-jacobbean,112,42957.81,1,45264.96,2015
pi-gilbertjack,45812,42766.5,15,121597.9219,2015
pi-dholz,1157,40370.43,2,40365.3644,2015
pi-rossc,1805,37215.35,9,244172.7767,2015
pi-moyer,5708,36895.34,9,38469.8072,2015
pi-rbgramacy,222,34809.45,1,34808.4639,2015
pi-burhan,661,34252.26,3,34248.41,2015
pi-rtp1,743,33685.53,2,34175.7594,2015
pi-liantaow,710015,33072.3,2,29444.7619,2015
pi-bkelly0,9276,32637.0,2,33893.9475,2015
pi-jschnei1,665,30757.84,2,31755.5753,2015
pi-tokmakoff,90333,30205.61,8,307995.8044,2015
pi-mkolar,13544,29023.6,3,49507.1911,2015
pi-sepalmer,25525,28422.03,6,62677.8711,2015
pi-dachxiu,278,25668.95,3,34077.2822,2015
pi-yaliamit,9463,25225.34,4,25174.07,2015
pi-wilde,7875,23842.41,12,27066.2967,2015
pi-rrock,1826,22890.98,2,23127.8847,2015
pi-cosar,414,22786.21,1,22784.6164,2015
pi-dhooper,5501,22588.6,2,22564.8439,2015
astr33000,1869,20474.54,14,28419.5919,2015
pi-trsosnic,12215,18306.79,5,19208.3792,2015
pi-lgrandi,1095,14555.0,5,14551.4122,2015
pi-bkeenan,336,14433.55,2,20849.1431,2015
pi-kazutaka,265,14400.98,6,14831.9119,2015
pi-aclyu,458,14188.57,5,14186.5031,2015
pi-arzhetsky,535,13417.6,3,13524.1081,2015
pi-wtmirvine,4001,13238.09,5,13214.7881,2015
pi-khanna7,18,12907.99,2,12907.9236,2015
pi-weyl,2801,12888.55,2,12873.9714,2015
pi-pchintag,392,12375.64,2,18788.675,2015
pi-drm7,925,12243.33,2,12248.4875,2015
pi-ejadams,444,11448.87,1,11446.6844,2015
mpcs51087,1678715,10471.05,14,5389.3272,2015
cmsc26800,1772,10414.53,16,10405.4844,2015
pi-dpope,217,9155.25,1,15101.2281,2015
pi-skeedy,469,8340.1,4,8337.8389,2015
pi-jevans,419,8325.92,3,21011.7872,2015
pi-asufi,372,7446.58,1,7639.8008,2015
pi-wilsonp,548,6882.81,2,6880.4894,2015
pi-fciesla,32,6585.2,1,6585.0722,2015
pi-nbrunel,3400,5765.01,2,5745.8661,2015
pi-evtimov,3488,5369.87,2,5352.53,2015
pi-btian,295,5255.48,4,16513.5103,2015
pi-stin,13879,5070.78,2,5003.6089,2015
pi-shakhnarovich,97,4341.86,3,4341.7658,2015
pi-jaeger,256,4328.23,4,4327.405,2015
bios26120,243,4314.25,11,4313.1367,2015
pi-sarice,1200,3967.66,3,3961.7742,2015
pi-weare,577,3744.24,1,3741.8872,2015
pi-anc,158,3582.52,3,3988.8136,2015
pi-avieregg,13453,3496.27,4,3434.0036,2015
pi-mlcoleman,624,2980.29,5,14532.1672,2015
pi-gmatvos,37,2948.03,1,2947.9233,2015
pi-nfschere,139,2538.41,1,2537.765,2015
pi-vmbertho,12,2235.52,1,2235.4844,2015
pi-risi,768,1758.42,2,2526.9492,2015
pi-dskinner,21,1515.56,1,1520.5647,2015
pi-jagoldsm,65,1452.22,4,1454.1217,2015
kicp,302727,1264.98,34,1701574.2636,2015
pi-archer,68,1199.17,1,1198.8067,2015
pi-ghitsch,117,1113.86,1,1113.4078,2015
pi-jand312,29,1061.12,1,1060.9867,2015
pi-lamadon,69,980.53,1,980.2239,2015
pi-amurugan,156,948.68,1,947.8203,2015
pi-jdube,395,794.67,2,4052.0197,2015
pi-vavra,24,682.81,1,682.7031,2015
pi-littlewood,525,403.09,1,400.2606,2015
pi-dis,953,375.04,3,370.3083,2015
astr31600,7271,289.36,4,249.105,2015
pi-prhahn,232,289.07,2,288.2308,2015
pi-glk,7368,222.81,3,752.6422,2015
pi-kkawaji,6,210.21,1,210.1931,2015
pi-qitiguo,71,201.33,1,201.2411,2015
pi-kettimut,281,162.96,5,14624.1492,2015
pi-mhale,32,150.86,2,689.99,2015
pi-sraudenb,60,131.7,1,131.4028,2015
pi-anants,95,114.17,2,113.9567,2015
pi-siegela,27,92.23,1,92.0942,2015
cmsc33520,61,84.91,1,84.6519,2015
pi-berry,51,63.1,2,62.8078,2015
pi-tanhuan,115,56.6,2,2273.0075,2015
pi-hdew,13,39.02,1,38.9556,2015
pi-london,26,30.97,1,30.8306,2015
pi-gnedin,9,30.88,2,30.8508,2015
rcc-guest,375,26.95,20,52.76,2015
pi-awsch,13,25.92,2,25.8597,2015
pi-rwiersma,15,24.53,1,24.6114,2015
pi-mhereld,60,22.91,1,22.6589,2015
pi-sokolov,3,16.94,1,16.9189,2015
pi-gan1,83,16.11,1,15.7294,2015
pi-kalindsey,11,15.26,1,15.2042,2015
pi-cpel,17,12.19,1,12.0894,2015
meng33000,9,10.46,5,10.5506,2015
pi-weberm,7,8.24,1,8.3244,2015
pi-wgreen,13,7.56,2,7.6678,2015
pi-rina,12,5.94,1,5.8981,2015
pi-johntmurphy,47,5.36,2,5.1831,2015
pi-pjlarivi,2,3.38,1,3.3636,2015
pi-richardjeanso,1,3.25,1,3.2489,2015
pi-sshahul,5,2.24,1,2.2136,2015
mgcb32000,4,0.74,2,0.7269,2015
rcc-instructor,42,0.4,2,0.1461,2015
pi-l332,27,0.26,1,821.8922,2015
pi-ebudish,2,0.23,1,0.22,2015
pi-mlong,2,0.21,1,0.195,2015
pi-skron,4,0.13,1,0.1064,2015
pi-iawad,10,0.12,3,41.8789,2015
pi-vishwanath,1,0.03,1,0.0222,2015
pi-sliman,28,0.03,2,58.3008,2015
pi-ozidar,3,0.03,1,0.0014,2015
pi-lorettaau,1,0.01,1,0.0083,2015
geos33300,1,0.01,1,0.0003,2015
pi-ckao95,10,0.0,1,21.0433,2015
rcc-temp1,14,0.0,1,10.9542,2015
cron-account,105226,0.0,9,302.8586,2015
bios10603,1,0.0,1,62.97,2015
pi-jhr,6,0.0,1,112.0222,2015
surph,246,0.0,1,2300068.6578,2015
pi-dbrentari,1,0.0,1,0.0167,2015
pi-oto,1,0.0,1,0.0,2015
bios11103,1,0.0,1,0.0333,2015
pi-eatock,42,0.0,3,1452.1167,2015
weare-dinner,25979,0.0,8,441100.1225,2015
