account,jobs,su,users,cpuhours,cycle
pi-depablo,1824980,5747291.37,26,13931022.0822,2013
pi-gavoth,32860,2209442.07,33,4726385.705,2013
pi-roux,5613,1628097.05,12,2459525.7689,2013
pi-freed,1658006,1408766.05,9,2009222.0014,2013
pi-kravtsov,3736,1287102.48,2,1762146.6214,2013
pi-dbiron,2767,707289.27,6,707277.7431,2013
pi-dinner,43011,517118.63,7,525718.3828,2013
pi-drowley,197,512918.8,1,826421.1272,2013
pi-eperozo,459,506681.18,1,506680.0,2013
pi-fciesla,1515,498717.06,2,498710.975,2013
pi-abbot,1150,435889.5,4,435884.9369,2013
pi-dachxiu,2847,326662.45,3,332906.2022,2013
rcc-staff,26545,220093.08,15,431348.1272,2013
pi-wilde,12670,132937.55,8,191221.9397,2013
pi-joshuaelliott,6940,112784.09,7,169173.4736,2013
pi-aaz,1724,111187.05,1,111193.2889,2013
pi-nbrunel,15118,105158.21,3,153723.9586,2013
pi-dholz,17,100256.5,1,100256.4267,2013
pi-akonigl,193,56534.82,2,56533.9911,2013
pi-gnedin,62,55569.27,1,55569.1064,2013
pi-tokmakoff,71455,54031.42,11,179301.6614,2013
pi-jfrieman,273,50276.19,1,70930.8678,2013
pi-lupingyu,52,44910.61,1,44910.4311,2013
pi-deisenst,349,42813.47,1,48805.5539,2013
pi-cpel,3050,37877.6,1,37868.8411,2013
cmsc33001,158,32983.83,2,32983.115,2013
pi-jheckman,160,29571.81,1,29571.065,2013
pi-mstephens,5990,29151.17,2,29138.3344,2013
pi-jtruran,187,24286.69,3,24290.82,2013
swift,33684,17605.52,6,104408.9858,2013
pi-ckao95,88,16290.71,2,16290.7172,2013
pi-gilbertjack,1367,15771.58,6,27953.7317,2013
pi-rbgramacy,200,13935.44,1,16136.8183,2013
pi-ad15,858,13478.84,1,13474.8814,2013
pi-arzhetsky,1500,11715.15,2,12196.5547,2013
pi-taddy,457,7911.47,1,10671.3614,2013
pi-moyer,1723,7377.69,3,15721.2311,2013
pi-rjlalond,30,6798.22,1,6798.1467,2013
pi-rkessler,52520,6749.01,5,6452.9975,2013
pi-dyork,32,6122.11,1,6121.9961,2013
pi-rwg,19674,5799.82,3,5727.3664,2013
pi-vzhorin,71,5013.97,1,5017.0831,2013
cspp51087,5752,4698.02,14,4825.0331,2013
pi-cosar,123,4346.83,1,4346.4878,2013
pi-lafferty,2107,3451.41,2,3441.7186,2013
econ41903,30,2370.35,6,2370.2333,2013
pi-nicho,5138,2237.85,3,2215.5514,2013
pi-sethi,65,2158.88,1,2158.6,2013
pi-skeedy,193,1708.14,6,1707.2236,2013
pi-fabrycky,111,1393.01,2,16565.0825,2013
pi-aclyu,109,940.58,2,940.1072,2013
pi-mkolar,2488,393.09,1,387.9286,2013
pi-price,34,220.46,1,220.3597,2013
pi-siegela,46,160.77,1,160.6336,2013
pi-vikramvd,20,123.4,1,123.4225,2013
cmsc12300,48,87.86,7,87.6733,2013
pi-rrosner,166,82.4,1,81.5439,2013
rcc-guest,177,34.19,18,76.985,2013
pi-uschmid,33,29.06,1,28.9286,2013
pi-rtp1,55,24.82,2,24.7178,2013
psd,13,6.14,1,6.0725,2013
pi-slv,21,4.15,1,4.92,2013
pi-jabadner,7,2.85,1,2.8206,2013
pi-dpope,10,2.13,1,2.0767,2013
pi-ossa,1,2.01,1,2.0069,2013
pi-hortacsu,10,0.27,2,0.2383,2013
pi-gruzberg,5,0.07,1,0.0567,2013
pi-rljacob,4,0.04,1,0.0269,2013
pi-jcaciopp,1,0.04,1,0.0325,2013
kicp,76671,0.0,20,2783052.1842,2013
weare-dinner,130,0.0,2,40977.8969,2013
kicpccw2013,692,0.0,17,4752.3067,2013
cron-account,88,0.0,2,0.0628,2013
pi-razborov,5,0.0,1,51.8422,2013
sandbox,1218,0.0,8,99726.0086,2013
surph,1016,0.0,4,912834.0814,2013
ibm,16878,0.0,2,669289.3044,2013
