,account,jobs,su,users,avg_cores,avg_nodes,cpuhours
80,pi-rossc,272,12747.35,3,3.0257,0.9853,12746.0983
81,pi-wtmirvine,623,11545.84,3,2.6083,0.9936,11542.6364
82,pi-amurugan,2150,11327.14,4,51.7377,5.5335,11318.6578
83,pi-rtp1,405,11233.01,2,16.4,1.1086,11231.1922
84,pi-nnn,92,10516.29,1,10.0652,0.9239,10515.9022
85,pi-avieregg,2159,10260.28,4,2.8337,1.0866,10247.9792
86,pi-dhooper,539,10128.62,1,14.9573,0.9981,10126.1578
87,pi-ljb4,169,10045.74,2,12.9822,1.1538,10044.925
88,bios26120,939,9193.82,27,8.8818,1.0224,9189.1378
89,pi-nbrunel,451,8826.56,4,8.694,2.4701,8824.4725
90,pi-haky,1958,8159.47,3,0.9249,0.8468,8151.0406
91,pi-fciesla,125,8049.45,2,14.064,13.656,8048.8067
92,pi-rstevens,248,7970.02,1,52.6452,3.2903,7969.4578
93,pi-belavina,36,7093.09,1,26.0556,2.0556,7092.9253
94,mpcs51087,2217,6943.3,16,11.8552,3.5945,6932.7619
95,pi-sokolov,220,5890.57,1,15.5409,1.0091,5889.6969
96,pi-lamadon,98,5225.94,1,22.3469,2.3367,5225.5717
97,pi-rayid,47,5085.1,1,40.6596,3.3404,5084.8819
98,pi-tten,469,4842.24,1,12.919,0.8827,4840.3044
99,pi-l332,244,4795.58,1,14.1066,0.9508,4794.5328
100,pi-wbwu,97,4722.53,2,16.732,1.1134,4722.1214
101,pi-fabrycky,113,4537.87,2,3.823,1.8584,4537.3486
102,pi-littlewood,1395,4453.88,1,7.0523,5.1806,4445.7403
103,pi-collar,1082,4114.44,1,1.0,1.0,4108.2794
104,pi-aclyu,76,3911.42,5,12.8421,1.1974,3911.1019
105,pi-jdube,1286,3810.74,2,0.9261,0.9386,3804.9111
106,meng34200,284,3582.2,9,31.9683,1.9965,3580.9178
107,pi-jacobbean,14,3528.19,1,41.7143,2.7143,3528.1511
108,pi-jaeger,223,3365.47,5,10.7623,0.9462,3364.5803
109,pi-prhahn,386,3189.28,2,0.9715,0.9715,3187.3975
110,pi-kcharles,3784,3132.03,1,3.6036,0.9458,3115.6767
111,pi-adirienz,1432,3043.45,1,15.7088,1.0133,3037.1769
112,pi-berkelbach,3728,2820.55,3,1.2454,1.0024,2800.1172
113,pi-gilad,3014,2555.79,3,1.8328,0.9038,2540.4614
114,pi-scicala,58,2259.24,1,58.7759,3.7069,2259.0311
115,pi-rrock,181,2115.2,2,3.6961,3.6133,2114.1781
116,pi-jinbo,419,1690.9,2,4.9308,1.3055,1688.5053
117,pi-kazutaka,45,1602.67,5,10.5111,0.9778,1602.5233
118,pi-jevans,88,1587.56,8,20.8864,1.7955,1587.1783
119,pi-dfreedman,133,1497.2,1,0.9925,0.9774,1496.4633
120,pi-sliman,9,1459.84,1,28.8889,2.6667,1459.7919
121,pi-ckao95,430,1398.64,3,0.9977,0.9977,1396.2761
122,pi-glk,41123,1358.0,2,1.0002,0.9988,1122.8506
123,pi-awsch,214,1306.02,1,6.3458,4.5841,1305.0231
124,mpcs56420,1444,1157.08,6,9.2168,1.2341,1150.0011
125,pi-bkelly0,46,992.82,3,5.2391,1.0,992.5578
126,soci40133,125,950.81,9,2.664,1.032,950.2372
127,pi-foster,224,720.27,2,6.4777,1.2545,719.2142
128,pi-dis,91,640.68,6,5.1978,1.0769,640.2267
129,pi-vavra,101,608.16,1,6.3366,0.9505,607.6569
130,pi-larogers,536,488.9,1,1.0,1.0,486.2603
131,pi-abney,87,429.9,1,16.0,1.0,429.5378
132,pi-wilde,1073,412.71,4,15.8472,1.0522,407.8722
133,pi-mhale,1,384.04,1,32.0,2.0,384.0356
134,pi-gan1,116,319.47,1,8.931,1.3534,318.8314
135,pi-iawad,23,281.27,2,2.3043,1.0,281.1456
136,pi-johntmurphy,9,257.65,1,50.2222,11.2222,257.6156
137,pi-aolinto,7434,215.3,1,1.3697,0.9985,172.045
138,pi-gskarczm,862,189.77,1,1.007,0.9988,184.9214
139,pi-hfrisch,16,162.35,2,14.0625,0.875,162.2844
140,pi-tanhuan,27,159.33,1,1.1111,1.1111,159.1861
141,rcc-instructor,48,108.38,3,54.9583,3.9792,108.1739
142,pi-abinkowski,409,101.59,1,5.2054,1.1467,99.1981
143,mgcb32000,78,99.57,8,1.0,1.0,99.2064
144,pi-ghitsch,49,89.47,2,7.6735,0.8571,89.2769
145,pi-gulotty,8,79.59,1,64.0,4.0,79.5556
146,pi-jhubbell,234,75.44,1,1.0,1.0,74.3119
147,pi-hdew,66,59.68,2,1.0,1.0,59.3567
148,pi-drubin8,65,58.01,4,0.9846,0.9846,57.6469
149,pi-liantaow,5383,55.55,2,1.0286,1.0007,10.8356
150,pi-siegela,34,48.87,1,11.4118,2.1471,48.7211
151,pi-ajaved,10,46.27,1,1.0,1.0,46.1978
152,meng23000,271,45.38,4,15.6458,0.9779,44.1689
153,pi-jponticelli,16,45.36,1,3.8125,1.375,45.27
154,pi-btian,22,44.82,2,2.3636,1.0,44.6978
155,pi-tcovert,94,44.74,1,3.2979,0.9894,44.2886
156,stat37820,79,39.16,1,6.6329,1.1266,38.685
157,rossby,17,36.09,4,2.0588,0.7059,36.0189
158,pi-tuecke,24,36.08,1,2.9583,1.125,35.9753
159,pi-egrove,37,32.47,1,1.0,1.0,32.2322
160,pi-sethi,2,29.02,1,1.0,1.0,29.0033
161,rcc-guest,14,20.55,7,2.0714,1.0,20.4853
162,pi-qitiguo,16,17.78,1,5.625,0.9375,17.7017
163,pi-dbrentari,14,14.56,1,1.2143,1.2143,14.4903
164,pi-jongrant,20,13.45,1,0.95,0.95,13.3519
165,pi-emunro,26,13.21,2,1.0,1.0,13.1033
166,pi-xinhe,28,12.18,1,0.4286,0.8929,12.1414
167,pi-pricet,16,10.78,2,1.4375,1.0,10.7072
168,pi-vbindoka,19,9.79,2,1.0,1.0,9.7169
169,pi-pchintag,11,9.17,1,1.0,1.0,9.1286
170,pi-arac,6,6.57,1,45.8333,5.8333,6.5447
171,pi-yaliamit,16,5.67,1,1.0,1.0,5.5828
172,pi-gkaplan,6,5.12,1,1.0,1.0,5.0817
173,pi-jpadgett,9,4.02,1,0.3333,1.0,4.0092
174,pi-kettimut,3,3.46,1,1.0,1.0,3.4406
175,pi-mhereld,25,3.45,1,11.04,0.84,3.3389
176,pi-sraudenb,2,3.25,1,1.0,1.0,3.2419
177,pi-jstaley,2,3.08,1,1.0,1.0,3.0633
178,pi-nealey,2,2.37,1,1.0,1.0,2.3614
179,pi-oto,1,2.01,1,1.0,1.0,2.0017
180,pi-lekheng,15,1.73,2,13.6,1.4,1.6411
181,pi-pjlarivi,9,1.39,1,2.3333,1.4444,1.3469
182,pi-malegre,1,0.88,1,1.0,1.0,0.8731
183,pi-stuartrowan,4,0.25,1,16.0,1.0,0.2222
184,pi-jgrogger,5,0.12,1,25.6,1.6,0.1067
185,pi-dgallo,1,0.1,1,1.0,1.0,0.0939
186,pi-anitescu,6,0.07,1,1.0,1.0,0.0456
187,pi-wulongtao,2,0.06,1,1.0,1.0,0.0442
188,pi-asufi,2,0.01,1,3.0,0.5,0.0067
189,pi-jagoldsm,1,0.01,1,1.0,1.0,0.0075
190,lenovo,109,0.0,1,35.4587,1.5688,603.6647
191,pi-mets,1,0.0,1,8.0,1.0,0.0
