,account,jobs,su,users,avg_cores,avg_nodes,cpuhours
0,pi-aaz,2343,2021907.81,7,69.1481,4.4767,2021898.8683
1,pi-depablo,39312,1955673.05,30,6.998,1.1845,1955507.7431
2,pi-gavoth,7644,1604232.84,35,24.1692,1.6515,1604210.4692
3,pi-freed,137047,1455467.23,12,2.7527,0.9565,1454908.2756
4,pi-taddy,5395,1292407.3,11,78.7809,4.9783,1292390.0911
5,pi-wtang,375,1128546.03,5,176.488,11.088,1128544.7022
6,pi-roux,13040,978921.27,17,18.7965,1.3178,978864.3533
7,pi-rkessler,240667,748121.82,18,1.9588,0.9971,746889.8844
8,pi-abbot,5193,745118.86,5,28.4059,4.435,745098.6789
9,pi-gagalli,2038,724575.28,17,40.998,3.0147,724567.6819
10,rcc-temp2,15979,718835.33,7,106.3753,6.4671,718767.6728
11,pi-mfj,2217,692734.0,3,31.1425,1.9612,692724.7414
12,pi-whu5,13132,679044.5,4,13.7106,2.7229,678986.0736
13,pi-rbgramacy,238,651643.33,1,256.5588,16.0714,651642.3694
14,pi-joshuaelliott,114703,627198.79,7,10.432,0.7101,626870.1783
15,pi-trsosnic,11346,577001.45,6,7.6444,1.0428,576953.8617
16,pi-dinner,39309,493390.74,13,2.1863,1.0159,493194.0778
17,pi-svaikunt,7455,486798.61,6,16.321,1.1171,486772.0233
18,pi-kravtsov,2382,484556.24,10,19.0508,1.7414,484546.2208
19,pi-vmbertho,79,472381.07,1,419.2658,26.2025,472380.8822
20,pi-mstephens,13902,425912.72,13,3.7627,0.9855,425848.3142
21,pi-burhan,2482,420571.97,2,55.0786,5.0077,420559.9775
22,pi-pascualmm,545996,379641.83,8,0.9968,0.995,377163.7692
23,pi-tintelnot,9486,378264.55,6,5.8795,1.0696,378223.97
24,pi-gdwyer,89019,330872.77,7,1.2536,1.0107,330437.5167
25,pi-arzhetsky,6244,330626.61,5,2.6302,0.9848,330596.4786
26,pi-bkeenan,412,286069.57,2,83.733,5.8204,286067.8586
27,pi-jaredlewis,1520,259254.8,5,16.4895,1.4934,259248.2044
28,pi-lgrandi,70218,249388.66,15,45.8851,3.8604,249094.4414
29,pi-kite,390,231640.71,5,78.0359,8.3359,231639.2539
30,pi-drowley,70,215446.28,1,133.4857,9.8857,215445.9733
31,pi-nfschere,803,193522.44,3,49.6812,3.1831,193518.8792
32,pi-scrosson,660,179328.05,2,60.347,3.5848,179325.8522
33,pi-cobey,47657,172175.78,8,4.9697,0.9978,171961.5589
34,pi-vzhorin,752,170624.78,1,14.137,0.9468,170621.7389
35,pi-dbiron,4705,163929.16,3,37.1245,2.3881,163908.1161
36,rcc-staff,4651,161067.48,34,109.1183,5.8723,454478.1786
37,pi-jnovembre,10698,149476.4,4,4.0032,0.9817,149422.0778
38,pi-ehurst,16212,147304.94,5,1.7803,0.9895,147227.5283
39,pi-sibener,961,138167.64,1,14.8522,1.8252,138163.1806
40,pi-rwg,1854,138029.68,3,14.3193,0.8948,138022.4261
41,pi-dholz,1523,126231.33,3,16.7249,1.8234,126224.8381
42,pi-akonigl,47,125558.96,2,155.234,9.7021,125558.7556
43,pi-hortacsu,16088,106893.67,8,1.4839,1.1066,106814.0769
44,pi-eperozo,38,106746.22,2,233.8421,14.5,106746.0844
45,pi-mkre,2125,101669.54,2,25.6607,2.5176,101659.4464
46,pi-skeedy,860,97305.76,4,18.9058,3.836,97300.8267
47,bios10603,570,92121.76,29,34.1228,11.1491,92119.2264
48,pi-drm7,1016,89426.21,2,14.2461,1.2096,89421.8275
49,pi-jecarlst,1318,86563.12,4,16.3695,1.0281,86559.2186
50,pi-jozik,327,64955.92,4,118.4067,7.9664,64954.5381
51,pi-sepalmer,31319,58982.77,7,1.5407,1.0314,58825.6114
52,pi-salesina,278,57287.88,1,5.8705,0.9856,57286.5822
53,pi-sdodelso,3706,57126.64,7,5.9808,1.2234,57108.6644
54,pi-ftchong,4968,52248.03,2,6.6906,1.3575,52224.5517
55,chem26800,2436,50678.22,21,3.9183,1.0443,50663.4025
56,bios11102,381,49093.94,4,68.0472,4.252,49092.5422
57,msca,1958,48935.65,26,8.2978,0.7615,48930.2089
58,pi-rjlalond,870,45250.12,2,13.0644,1.2161,45246.4814
59,pi-tokmakoff,5669,33928.78,6,4.8245,1.1409,33904.7269
60,pi-levin,859,32783.54,4,15.0012,1.8091,32780.0875
61,pi-jdingel,27386,30637.62,4,0.3753,0.2589,30605.2825
62,pi-neiman,3145,29330.14,5,8.2496,0.9746,29315.2525
63,pi-jfrieman,189,28866.46,1,8.0,1.0053,28865.5789
64,pi-dachxiu,8888,27329.76,5,2.5882,1.0015,27285.7022
65,pi-risi,3160,25736.16,4,9.3835,0.8671,25724.4419
66,pi-mkolar,1117,25400.99,3,10.7404,1.684,25396.3772
67,pi-wenbinlin,301,23820.08,5,9.7508,1.0033,23818.5978
68,pi-stin,1227,23393.46,2,3.3488,1.1108,23386.8997
69,pi-jschnei1,1008,22368.3,1,15.3849,2.3522,22363.4622
70,geos33300,178,20307.55,4,34.7135,2.2865,20306.7892
71,pi-moyer,1722,20234.44,10,8.0337,1.2427,20225.8003
72,pi-nicho,7586,20045.75,7,1.0865,0.9988,20009.2575
73,pi-ishanu,3764,19640.76,2,14.2829,0.9219,19625.3642
74,pi-wilsonp,1781,16762.22,2,14.8265,0.9972,16754.1628
75,pi-richardjeanso,405,16631.77,1,12.8148,1.5136,16629.9819
76,pi-aachien,1872,16405.69,4,123.1971,7.953,16397.1644
77,pi-tas1,599,14108.75,6,16.6043,1.7245,14105.7133
78,pi-gilbertjack,1068,13413.17,10,3.4644,0.9345,13408.4628
79,pi-mlcoleman,1129,13177.66,6,5.9238,0.9486,13172.4475
