account,jobs,su,users,cpuhours,cycle
pi-depablo,1399283,6911032.32,32,18389795.5794,2014
pi-gavoth,65737,2508782.0,32,12600402.8672,2014
pi-roux,29775,2038391.79,8,3593075.7517,2014
pi-dbiron,3981,1309947.7,7,1310053.4033,2014
pi-kravtsov,988,1250042.7,4,1250424.4719,2014
pi-freed,494037,1156270.0,11,1585146.1261,2014
pi-joshuaelliott,162224,1005580.05,10,1062024.8622,2014
pi-hortacsu,1884,876631.85,15,877557.9258,2014
pi-gnedin,16007,835555.15,2,835494.5497,2014
pi-drowley,188,814035.77,1,814034.9378,2014
pi-abbot,2746,725124.15,3,725112.9489,2014
pi-dinner,50043,689053.05,14,691235.8581,2014
rcc-staff,8031,571009.62,18,577099.8486,2014
pi-eperozo,323,540939.96,1,540938.6667,2014
pi-akonigl,674,461728.49,3,461725.6117,2014
pi-ehurst,222955,334591.7,2,748295.8986,2014
pi-aachien,3220,258098.9,5,258087.5364,2014
pi-jfrieman,731,202260.16,1,213778.2917,2014
pi-rree,1294,172166.32,4,344443.1197,2014
pi-collar,369251,171599.47,2,169526.7814,2014
pi-fciesla,250,169766.6,2,169765.6572,2014
pi-taddy,811,162658.84,4,169242.83,2014
pi-burhan,26241,117219.23,2,117058.0867,2014
pi-dholz,1683,111387.08,1,111380.8756,2014
pi-kite,94662,105868.37,1,172421.4217,2014
pi-vzhorin,298,105015.63,1,105035.6711,2014
pi-gilbertjack,11981,82691.2,10,131889.7211,2014
pi-mkolar,2000,67578.27,1,73437.16,2014
pi-fabrycky,5868,67251.71,3,78869.2956,2014
pi-rwg,11087,65550.64,4,81378.2653,2014
pi-sepalmer,29052,62686.22,3,79378.8458,2014
pi-aaz,349,61827.23,3,61825.6275,2014
pi-nbrunel,11726,60960.04,4,60900.0458,2014
pi-moyer,5389,59878.12,9,59931.3819,2014
pi-tintelnot,590,59797.98,2,66055.8492,2014
pi-tokmakoff,19945,56171.08,8,100521.3139,2014
pi-jinbo,25111,55941.12,5,57930.7697,2014
cmsc12300,115,55724.77,9,55724.2447,2014
pi-yaliamit,1204,52257.33,4,52259.8933,2014
bios11103,235,52118.11,7,52117.4022,2014
pi-nicho,768,51620.55,5,53057.1233,2014
pi-wenbinlin,827,40596.51,3,40592.8606,2014
pi-rossc,476,35428.59,8,35589.4158,2014
pi-kazutaka,258,34892.02,3,34890.8658,2014
pi-wilde,10594,31718.92,7,42342.1669,2014
pi-neiman,1499,31489.09,3,41925.7894,2014
cspp51087,1478,29077.69,15,35730.7444,2014
pi-rkessler,138970,28673.89,7,27904.7267,2014
pi-jozik,402,28059.34,2,28057.8511,2014
pi-rbgramacy,391,25930.88,1,25929.1342,2014
pi-jaredlewis,128,23731.05,2,23730.4733,2014
pi-rtp1,2222,21504.77,3,21495.8386,2014
pi-dpope,815,19145.06,1,34346.0592,2014
pi-liantaow,337025,14529.95,3,12777.5656,2014
chem26800,1752,12191.56,22,12250.9761,2014
pi-mstephens,28820,11139.52,2,10998.0078,2014
pi-richardjeanso,945,10396.72,4,10392.9203,2014
pi-jevans,1898,10241.65,10,82890.9661,2014
pi-whu5,75,9555.68,1,9555.44,2014
pi-lupingyu,5,9216.65,1,9216.64,2014
pi-gagalli,1255,8479.65,3,8589.3194,2014
pi-wtmirvine,537,7830.83,2,7828.3244,2014
pi-dhooper,1979,7818.48,1,7809.5931,2014
pi-gdwyer,1651,7211.09,2,7202.4028,2014
pi-cpel,68,6046.23,2,6046.2536,2014
pi-kkawaji,150,5466.27,1,5465.5178,2014
pi-rjlalond,107,5225.11,4,5224.705,2014
pi-jagoldsm,168,5124.2,2,5364.7278,2014
pi-ishanu,143,5054.86,1,9735.6756,2014
pi-skeedy,336,4966.95,6,4965.2108,2014
pi-mlcoleman,1162,3254.91,3,3611.9297,2014
pi-aclyu,553,3051.6,6,3049.0181,2014
pi-weyl,943,2888.59,3,2885.7647,2014
pi-asufi,345,2672.32,1,3631.0258,2014
pi-dachxiu,59,2347.63,1,2347.3378,2014
pi-levin,98,2286.24,3,2285.8039,2014
pi-gan1,212,2069.64,1,2068.5653,2014
pi-nikolaev,31,1895.61,2,1895.4756,2014
pi-uschmid,37,1406.65,1,1406.4769,2014
pi-ghitsch,69,1317.41,1,1317.1197,2014
pi-foster,6,1286.11,1,1286.08,2014
soci40133,8700,1253.55,18,1209.8761,2014
pi-price,8,1193.83,1,1193.8133,2014
pi-sdodelso,180,895.05,2,894.1111,2014
bfi,220,876.25,2,892.8669,2014
pi-jongrant,15,865.24,1,865.1594,2014
pi-ebchang,99,727.79,1,943.2153,2014
pi-cobey,2691,637.26,2,622.1058,2014
pi-arzhetsky,685,621.89,1,943.9633,2014
rcc-software,31,584.38,1,584.2078,2014
cmsc33001,273,516.17,6,3461.3103,2014
pi-vikramvd,11,453.54,1,453.5111,2014
pi-cosar,9,344.47,1,344.4553,2014
pi-siegela,29,287.78,1,287.6253,2014
pi-mhale,56,246.09,3,1748.8928,2014
pi-sarice,66,150.88,1,150.5447,2014
mgcb32000,101,143.99,12,143.5014,2014
pi-lafferty,690,110.76,2,107.4608,2014
pi-jabadner,45,75.08,1,74.8753,2014
pi-evtimov,68,69.31,3,69.0111,2014
pi-dyork,49,48.43,1,48.1492,2014
rcc-guest,717,48.43,26,66.0486,2014
astr33000,66,32.52,13,32.1664,2014
intromri2014,14,20.52,4,20.4425,2014
pi-pchintag,13,17.1,1,21.43,2014
pi-qitiguo,11,14.91,1,14.8656,2014
pi-jaeger,9,10.89,1,10.8492,2014
pi-jlist,12,10.73,1,10.6753,2014
pi-glk,685,10.64,2,13.6772,2014
pi-emunro,5,6.12,1,6.0914,2014
pi-sliman,17,4.77,1,4.63,2014
pi-drm7,5,4.05,3,4.0431,2014
pi-dis,15,3.79,2,3.6911,2014
pi-mpho1,6,2.67,1,2.6408,2014
pi-lamadon,3,2.25,1,2.2264,2014
cmsc34900,36,1.92,2,87.1753,2014
pi-jhr,17,1.48,1,1.5014,2014
nvidia,109,1.47,1,29.5417,2014
pi-ckao95,118,0.88,3,30.4339,2014
pi-sgsg,1,0.59,1,0.5803,2014
pi-cchen3,53,0.58,2,0.2953,2014
pi-rljacob,39,0.44,1,0.2111,2014
pi-wkang,1,0.33,1,0.3258,2014
pi-mglotzer,1,0.21,1,0.2014,2014
pi-rayid,5,0.08,1,0.0611,2014
pi-jecarlst,4,0.04,1,0.0036,2014
pi-kettimut,14,0.02,1,119.5269,2014
kicp,140265,0.01,22,2031426.5058,2014
rcc-temp1,6,0.01,1,3.8444,2014
pi-vbindoka,1,0.0,1,0.0611,2014
weare-dinner,23408,0.0,6,465600.0456,2014
its,1,0.0,1,32.0578,2014
cron-account,3548,0.0,5,328.39,2014
pi-mlong,5,0.0,1,9.55,2014
pi-trsosnic,9845,0.0,1,139550.1558,2014
pi-razborov,3,0.0,1,10.86,2014
pi-tuecke,20,0.0,1,350.3081,2014
intel,56,0.0,1,1.8178,2014
surph,287,0.0,3,1533979.0956,2014
pi-irebay,7,0.0,1,2.3167,2014
