,account,jobs,su,users,avg_cores,avg_nodes,cpuhours
39,pi-jozik,458,219366.79,3,80.3996,7.3777,194541.2072
40,pi-rossc,388,212998.48,4,19.3402,1.0258,212960.7228
41,pi-scrosson,455,211010.43,2,79.7956,4.9846,208564.0286
42,pi-svaikunt,46005,203485.03,5,1.2624,0.9798,200329.8531
43,pi-drowley,144,203116.07,1,53.5556,6.9167,202849.8356
44,bios10603,1243,201586.8,43,92.6959,6.1899,201581.88
45,pi-nbrunel,11136,190101.62,3,6.8711,1.2894,174149.1506
46,pi-wtmirvine,1096,177932.95,3,23.9763,2.0584,148475.4867
47,pi-nnn,715,176076.87,3,40.6112,8.0839,153259.6953
48,pi-khanna7,305,169680.22,2,108.9443,6.2361,176683.2544
49,pi-haky,30669,165716.54,7,1.4187,1.1899,86482.3164
50,pi-gilad,183142,160260.27,12,2.0616,0.9557,75759.0428
51,pi-kazutaka,1197,139386.63,4,11.9574,0.9749,77981.3589
52,pi-dachxiu,94158,122045.84,6,1.3154,0.9832,45926.0717
53,pi-ftchong,2914,119045.92,5,24.7718,2.6846,119034.2089
54,pi-vavra,20069,108656.56,1,13.2097,0.9967,92198.6722
55,bios10007,295,103733.69,19,46.5729,2.9424,103732.4472
56,pi-lgrandi,338065,102750.52,32,1.7618,0.9762,101720.4239
57,pi-neiman,26978,94723.19,3,8.4808,0.9541,61225.0825
58,pi-gan1,175,89581.75,1,62.7029,3.1943,76110.4369
59,pi-jlskinner,501,83320.78,2,7.7365,0.9741,83319.4589
60,pi-dfreedman,1949,80610.87,1,0.8492,0.8492,20728.4656
61,pi-stin,588,79756.5,3,38.1854,2.2177,79746.9072
62,bios10602,1231,77154.9,60,61.883,4.3241,76538.3308
63,pi-xinhe,20945,76413.35,10,4.4287,0.9924,27934.0886
64,pi-mkronforst,4410,71057.66,6,4.2354,0.9785,52359.1583
65,pi-jnovembre,27440,70150.97,14,1.3567,1.0026,44053.5792
66,chem26800,11859,63073.32,8,18.2288,0.9687,48778.7839
67,miccom-school,1136,53948.85,69,44.375,2.1778,53943.8436
68,pi-priviter,3573,50029.59,4,15.5136,0.9751,50019.6928
69,pi-berkelbach,26955,49054.74,6,1.26,0.9882,36097.0264
70,pi-bkelly0,2643,44485.66,2,60.7386,5.2187,43246.3478
71,pi-mengjiechen,11182,43291.28,2,0.9873,0.9873,30480.8947
72,pi-levin,765,39772.3,4,26.5098,1.7725,39788.3703
73,pi-jheckman,743,38328.97,1,10.7241,1.0444,37408.0392
74,pi-rtsay,91,37914.83,1,9.7033,0.4396,34821.6353
75,msca,675,36721.33,35,19.0104,2.7052,38620.3303
76,pi-dbiron,645,36137.52,2,35.5907,2.2419,36134.6667
77,pi-lekheng,544,35464.31,3,40.6912,3.2868,35461.6803
78,pi-moyer,840,33636.34,9,19.0321,2.3429,33632.9192
79,pi-sepalmer,8361,30349.13,4,1.3892,0.9974,29897.9769
80,pi-mlcoleman,8940,29391.24,10,3.0936,0.8776,26702.2403
81,pi-risi,487,27221.63,3,17.9014,1.1355,27148.6667
82,pi-jrussell,6760,27022.84,1,1.3645,0.9484,4352.0067
83,pi-blattman,105,23148.1,2,41.0286,2.8857,23143.9358
84,pi-jaredlewis,421,21131.04,4,12.4299,0.9952,20821.1744
85,pi-vzhorin,87,20551.15,1,11.5632,1.0,20550.7917
86,pi-aaz,139,20425.59,6,10.964,1.0576,20425.035
87,pi-fciesla,73,16221.66,1,33.4932,33.4932,16221.2719
88,pi-rwg,24106,15998.94,3,0.95,0.9101,16472.1525
89,pi-jstubbs1,554,15697.15,1,71.8303,5.8466,15695.0925
90,pi-gsengel,187,15355.68,2,22.8128,1.2674,15354.8689
91,pi-aachien,1441,14957.56,1,60.9077,5.4254,14956.2286
92,pi-wtang,29,14693.85,3,410.3448,15.1724,75014.8278
93,pi-lafferty,236,13682.9,3,45.9068,2.4322,13670.6867
94,pi-aclyu,282,12448.5,5,8.2021,0.9894,12447.2589
95,pi-adirienz,1250,12097.27,1,1.048,0.904,2386.5661
96,pi-oto,192,10856.18,5,3.3021,1.0729,10855.2969
97,pi-weberm,3117,10442.75,4,6.1765,0.9878,9948.6294
98,stat37820,284,10187.13,23,4.8451,1.0951,10185.8533
99,pi-jevans,1231,9218.48,4,12.6669,0.9716,9046.4189
100,pi-fritziea,70,9092.31,1,1.1286,0.9857,362.3397
101,pi-wilde,705,8792.93,5,14.956,1.0284,8790.1931
102,pi-tzeferacos,196,8477.26,2,35.7449,3.4286,8480.0761
103,pi-hickmanbr,2092,8157.71,3,7.8867,1.3078,8143.3236
104,pi-jdingel,11077,7749.92,5,1.1806,1.0036,7411.1822
105,pi-price,95,7139.6,2,35.3053,5.4211,7139.2172
106,pi-mhopkins,43,6364.74,1,16.7907,2.186,6364.5417
107,pi-rjlalond,217,6354.22,2,17.3594,1.0415,6353.3853
108,pi-hema,175,6213.41,1,24.9829,1.7543,6080.1211
109,pi-siegela,587,6125.65,11,34.5196,5.5486,6123.04
110,pi-eperozo,3,6110.32,1,320.0,20.0,6110.3111
111,pi-littlewood,1110,6046.24,1,49.7225,5.6477,5945.3392
112,pi-thomaswinberry,222,5931.97,1,9.5225,0.8018,6693.4947
113,pi-rtp1,153,5733.27,3,14.6405,1.0196,5744.9103
114,pi-rina,119,5602.14,1,103.3529,6.2941,5601.6128
115,mpcs51087,507,5401.27,11,43.7416,5.7101,5398.8019
116,pi-stuartrowan,117,5180.32,1,13.5385,0.8462,7104.0667
117,pi-anitescu,129,5008.59,2,19.3643,1.155,4992.7067
118,pi-jingyifei,22,4459.78,1,26.9091,2.3636,4459.6603
119,pi-simonjon,86,4207.52,1,16.0581,2.2907,4207.2767
120,pi-weare,40,3699.86,1,26.175,1.775,3699.6922
121,pi-tcovert,110,3685.74,5,52.1364,3.8364,3681.5619
122,astro33000,523,3576.4,12,8.262,1.4857,3215.0878
123,meng34200,206,3517.3,9,31.5388,2.0825,3516.6794
124,pi-berry,185,3183.29,1,30.3243,1.9459,3182.5211
125,pi-anants,96,3136.1,1,62.5,4.0,3135.68
126,pi-burhan,158,2943.35,3,13.6456,1.0886,2942.53
127,pi-xisong,31,2811.0,3,10.2258,1.129,2810.8525
128,pi-ckao95,853,2797.05,2,1.2825,1.0141,2791.5006
129,pi-skeedy,155,2647.41,5,24.9548,3.2774,2646.625
130,pi-gilbertjack,233,2558.06,9,2.4206,1.0,2556.8475
131,pi-srnagel,506,2428.27,2,3.1344,1.0,2425.5819
132,pi-jgrogger,43,2399.21,1,17.1163,1.0698,2399.0667
133,pi-rayid,119,2119.12,7,10.5294,0.8151,2158.8342
134,pi-yangili1,259,2000.13,1,7.2317,6.6834,1998.9492
135,pi-gskarczm,291,1469.91,2,1.6186,1.0206,445.4044
136,pi-tten,81,1464.08,1,4.5926,1.0,1463.7967
137,pi-kcharles,808,1440.35,1,10.6126,1.0,1436.5972
138,pi-sgsg,1,1370.62,1,100.0,18.0,1370.6111
139,mpcs56420,855,1361.39,11,14.8772,2.8737,1357.1667
140,cmsc33520,318,1276.94,4,74.6667,5.0031,1275.6842
141,pi-joet1,22845,1190.0,2,1.0015,1.0015,1078.8981
142,pi-wilsonp,1165,1188.19,2,14.4395,0.9073,1185.2856
143,pi-gnedin,57,1003.93,1,1619.2807,69.807,13438.3644
144,pi-tokmakoff,1639,923.94,2,1.2532,1.0,924.6667
145,pi-foster,122,865.39,4,57.5,6.2295,864.8797
146,pi-jhuangime,84,859.54,2,3.6786,1.1429,275.2439
147,pi-bermanm,108,763.8,3,6.7685,0.9444,770.6972
148,pi-mnewvill,22,746.32,1,101.4545,5.9545,746.2481
149,rcc-guest,693,704.8,45,6.974,1.3564,701.6397
150,pi-awsch,420,695.96,1,8.2524,8.2524,694.6447
151,pi-l332,45,687.27,1,18.0889,1.0,574.905
152,pi-pchintag,88,597.25,3,6.3068,1.2614,445.9328
153,pi-scicala,6,528.35,1,16.0,1.0,528.3378
154,pi-rwevans,1019,498.86,3,5.6889,1.2395,527.3831
155,pi-gkaplan,311,480.17,3,2.5756,1.3505,459.4533
156,pi-wulongtao,179,462.37,1,6.486,1.1173,461.5397
157,pi-abinkowski,220,378.41,1,11.9727,1.4727,377.0344
158,rcc-temp2,69,310.68,2,28.9855,1.8116,310.3244
159,pi-ahigh,38,297.99,2,8.0789,0.8158,297.8244
160,pi-drubin8,144,297.36,3,1.5972,1.4931,223.0411
161,pi-hsiehchangtai,72,283.54,1,10.5139,0.9722,283.2694
162,pi-glk,9866,283.29,2,1.0,1.0,218.9131
163,pi-kelloggr,270,277.94,1,1.2111,0.9444,266.0939
164,geos33300,80,274.85,4,36.4375,2.6875,274.4953
165,pi-btian,42,263.09,2,14.9286,1.0,263.0756
166,pi-mrsharma,71,213.19,1,1.2113,1.0141,185.8556
167,pi-wbwu,60,193.1,1,15.4667,0.9667,193.5956
168,pi-jsolway,625,192.63,1,1.0,1.0,189.6247
169,pi-dbrentari,2,191.09,1,100.0,7.5,191.0833
170,pi-hdew,31,185.61,2,11.1935,1.9032,185.4544
171,bngsda,78,183.52,17,1.0,1.0,183.1203
172,pi-rrock,316,142.99,3,6.8513,1.2848,141.4867
173,pi-mkolar,45,124.79,2,1.0,1.0,124.5578
174,ling21720,114,122.63,13,1.1316,1.0,122.0586
175,pi-hfrisch,39,115.96,1,2.1538,1.0,115.7475
176,pi-egrove,47,105.77,1,1.766,1.766,105.4639
177,pi-yaliamit,11,96.31,2,3.4545,1.0,96.2642
178,pi-caprioli,15,87.73,1,1.6,1.0,87.6569
179,pi-mcoates,7,79.81,1,48.8571,7.7143,79.7839
180,pi-pjlarivi,13,76.29,2,7.7692,1.2308,76.2536
181,pi-seifahrt,48,68.42,1,34.3333,2.0833,68.2089
182,pi-mhereld,177,60.68,2,15.9153,1.0,59.9383
183,pi-adrobyshevsky,101,44.61,1,20.3762,1.4158,40.3933
184,pi-dis,728,40.55,6,1.4533,1.0206,35.4742
185,pi-kettimut,5,36.95,3,10.0,1.0,36.9358
186,rcc-instructor,24,35.8,2,15.25,1.2917,35.6758
187,pi-bata,107,34.41,2,3.2523,0.9533,35.0558
188,pi-jfrieman,21,26.27,1,3.1905,0.3333,26.6147
189,pi-jdube,22,18.71,1,6.7273,6.7273,18.6117
190,pi-sarice,84,14.66,1,5.1429,0.5357,18.8942
191,pi-cacioppos,13,12.54,1,3.9231,2.6923,12.4778
192,pi-pricet,14,9.06,2,5.5,1.2143,9.0031
193,pi-tuecke,33,8.93,1,3.8182,1.1212,8.7753
194,pi-rhuang1,6,7.05,2,1.0,1.0,7.0206
195,pi-dgallo,11,6.7,1,1.0,1.0,6.6553
196,pi-vprince,20,6.41,2,21.25,1.0,6.33
197,pi-mhale,3,5.94,1,1.0,1.0,5.9231
198,pi-mlong,49,4.36,1,1.0,1.0,4.1381
199,pi-lorettaau,2,4.28,1,1.0,1.0,4.2742
200,pi-richardjeanso,3,3.45,1,1.0,1.0,3.4342
201,pi-avoena,3,3.07,2,1.0,1.0,3.055
202,pi-qitiguo,16,2.76,1,1.0,1.0,2.7283
203,pi-malegre,2,2.45,1,1.0,1.0,2.4347
204,economgame,2,2.12,1,1.0,1.0,2.1097
205,finm32950,6,1.89,5,1.0,1.0,1.8489
206,pi-emunro,3,1.85,1,1.0,1.0,1.8428
207,pi-abney,4,1.1,1,1.0,1.0,1.07
208,pi-mrust,3,0.84,1,11.0,1.3333,1.1025
209,pi-onibasu,5,0.55,1,0.4,0.4,0.5458
210,pi-jwal,2,0.38,1,1.0,1.0,0.2919
211,pi-anselin,1,0.29,1,1.0,1.0,0.2806
212,pi-jagoldsm,3,0.26,1,1.0,1.0,0.2556
213,pi-candogan,1,0.23,1,1.0,1.0,0.2228
214,pi-arielfeldman,9,0.19,1,21.6667,1.6667,0.155
215,pi-dkutasov,14,0.15,1,0.5,0.5,1.9508
216,pi-blase,4,0.08,1,1.0,1.0,0.0583
217,pi-kavibhalla,20,0.06,1,3.3,0.6,0.0481
218,pi-liantaow,3,0.06,2,22.0,2.0,0.0394
219,pi-baderk,1,0.05,1,1.0,1.0,0.0458
220,pi-fcattane,3,0.04,1,1.0,1.0,0.0169
221,pi-jhr,1,0.01,1,1.0,1.0,0.0008
222,pi-ehurst,1,0.0,1,1.0,0.0,0.0
223,pi-fabrycky,1,0.0,1,1.0,1.0,0.0
224,pi-rstevens,52,0.0,1,0.0,0.0,0.0
