,account,jobs,su,users,avg_cores,avg_nodes,cpuhours
0,pi-gavoth,44901,7872575.05,32,31.4945,1.8467,7914274.1597
1,pi-depablo,23678,7105927.55,36,42.7154,2.0379,8785714.8814
2,pi-gagalli,8041,6023573.5,24,164.6784,6.7626,6022206.055
3,pi-hortacsu,29511,2798460.01,9,20.7346,1.9668,2568634.1103
4,pi-freed,25403,2140333.89,10,11.4941,1.3809,2103772.5714
5,pi-roux,11055,2081989.97,17,42.4285,1.97,2810231.3544
6,pi-whu5,72801,2039289.46,6,16.6699,1.1106,2039636.5042
7,pi-dinner,101190,1976444.54,19,5.6343,1.0427,1843194.4689
8,pi-arzhetsky,35908,1950880.04,7,24.077,3.5686,1458694.5628
9,pi-mstephens,159337,1714971.9,15,2.9859,0.9826,1443242.1461
10,pi-yanjingl,29646,1390104.82,2,29.8112,2.0315,1132473.6006
11,pi-abbot,23858,1369000.53,5,90.3295,5.1573,1340790.4872
12,pi-ghitsch,129155,1349321.64,2,14.3135,1.0001,1347614.3803
13,pi-kravtsov,3708,1161685.34,9,120.8652,5.5076,1669409.1781
14,pi-trsosnic,30004,1139957.63,9,6.2833,1.1403,1138701.9667
15,pi-bkeenan,285,1002355.2,2,296.8772,12.9544,1002354.4347
16,pi-mfj,281,959845.48,4,367.6512,13.6299,1334168.8481
17,pi-ishanu,17065,956059.85,7,16.0418,1.1421,819428.6975
18,pi-nfschere,1604,931889.36,5,63.7226,3.5399,932305.5064
19,pi-vmbertho,161,895710.82,1,463.0062,28.9379,895710.2489
20,pi-rkessler,336200,878264.85,21,1.5678,1.0175,874281.3025
21,pi-joshuaelliott,127833,850199.16,5,12.7873,1.0,849779.9625
22,pi-pascualmm,181841,786126.88,8,7.703,0.9383,696803.8142
23,pi-kite,2610,738793.04,8,33.2031,6.4559,738781.6325
24,rcc-staff,659440,716843.65,25,2.1019,1.0395,1702182.2569
25,pi-sdodelso,14844,682013.41,9,22.7174,1.4548,675070.3231
26,pi-nicho,2655,571582.95,6,19.42,1.125,516934.5553
27,pi-cobey,33042,507089.84,9,2.1738,0.953,320574.5306
28,pi-taddy,16597,506504.08,6,15.8582,1.4131,304900.9497
29,pi-gdwyer,63529,500861.54,8,1.2639,0.9159,409178.0569
30,pi-ejadams,1464,500358.47,1,79.9337,3.6585,456598.1081
31,pi-tintelnot,10097,418322.44,8,10.7241,1.0905,376877.0142
32,pi-dholz,1214,388658.97,4,24.1969,1.0124,388552.615
33,pi-avieregg,39110,363549.63,6,3.1455,0.9016,349989.7611
34,pi-amurugan,7401,355738.23,6,45.6675,8.2451,337737.5042
35,pi-wenbinlin,23785,321839.66,2,1.2498,0.074,326662.7814
36,cmsc25025,6394,227681.38,77,22.0763,1.3785,191396.6872
37,pi-jaeger,128,227204.92,5,89.5547,6.25,227204.5303
38,pi-mkre,1028,220603.95,2,17.9621,2.2383,220599.7656
