account,jobs,su,users,cpuhours,cycle
pi-kazutaka,1355,140311.0,4,84437.6042,2017
pi-dachxiu,99556,122966.32,8,70369.7847,2017
pi-ftchong,3035,122528.93,5,122531.9997,2017
pi-vavra,21369,108656.56,1,122761.4183,2017
pi-moyer,3557,107480.64,10,41838.1853,2017
pi-lgrandi,11426781,104385.78,59,1649383.7731,2017
bios10007,295,103733.69,19,103732.4472,2017
pi-xinhe,23119,94133.23,11,36303.3781,2017
pi-mkronforst,5781,89618.68,6,96993.4661,2017
pi-gan1,175,89581.75,1,76110.4369,2017
pi-stin,680,86603.68,3,93624.2219,2017
pi-jlskinner,501,83320.78,2,83319.4589,2017
pi-dfreedman,1973,80610.87,1,21567.7233,2017
bios10602,1272,77261.9,60,76751.0622,2017
pi-jnovembre,167877,74907.16,15,192453.8461,2017
chem26800,11939,63083.37,8,48788.4161,2017
pi-berkelbach,27262,60463.53,6,37429.5383,2017
msca,1359,54783.73,38,60124.1261,2017
miccom-school,1143,53982.57,69,53950.3278,2017
pi-bkelly0,3087,50932.59,2,71149.9033,2017
pi-priviter,3589,50425.96,4,50415.9811,2017
pi-dkutasov,86,49958.35,1,8590.3181,2017
pi-mengjiechen,11821,44174.51,2,31334.2528,2017
pi-levin,10177,41893.73,6,40811.7819,2017
pi-mlcoleman,21626,41657.92,11,126191.8825,2017
pi-rtsay,97,40099.51,1,36516.1142,2017
pi-jheckman,750,38328.97,1,37408.0392,2017
pi-dbiron,645,36137.52,2,36134.6667,2017
pi-lekheng,830,35845.96,3,37833.4394,2017
pi-tcovert,686,34129.69,5,25392.005,2017
pi-sepalmer,36606,31421.7,5,163747.9056,2017
pi-jrussell,7339,31331.32,1,16018.8219,2017
pi-pchintag,295,28966.39,3,7242.4308,2017
pi-risi,586,28005.89,3,29222.2314,2017
pi-jevans,2198,25847.2,4,149136.2911,2017
pi-blattman,107,23148.1,2,23143.9358,2017
pi-weberm,3280,22499.03,4,12073.5519,2017
pi-jaredlewis,423,21139.23,4,20829.3522,2017
pi-vzhorin,87,20551.15,1,20550.7917,2017
pi-aaz,837,20425.59,6,313230.5214,2017
pi-jdingel,29625,16910.67,6,16384.43,2017
pi-fciesla,73,16221.66,1,16221.2719,2017
pi-rwg,24141,16019.22,5,16493.8128,2017
pi-jstubbs1,554,15697.15,1,15695.0925,2017
pi-srnagel,2323,15569.7,2,7160.5725,2017
pi-fritziea,140,15486.84,1,700.8978,2017
pi-gsengel,187,15355.68,2,15354.8689,2017
pi-aachien,1441,14957.56,1,14956.2286,2017
pi-wtang,29,14693.85,3,75014.8278,2017
pi-rwevans,1187,14147.54,3,2456.5914,2017
pi-lafferty,325,13683.98,3,14788.7956,2017
pi-adrobyshevsky,116,12496.96,1,777.6281,2017
pi-aclyu,288,12448.55,5,12447.4811,2017
pi-adirienz,1250,12097.27,1,2386.5661,2017
pi-kavibhalla,124,11946.99,2,966.2336,2017
pi-oto,254,10870.07,5,12220.4775,2017
pi-hickmanbr,2308,10800.98,3,15729.3711,2017
stat37820,309,10187.13,23,10263.7511,2017
pi-wilde,1063,8897.54,6,10732.1483,2017
pi-tzeferacos,216,8477.51,2,8480.3061,2017
pi-price,183,7197.27,2,7197.3161,2017
pi-mhopkins,44,6364.74,1,6365.3328,2017
pi-rjlalond,246,6354.22,2,9386.5333,2017
pi-siegela,643,6261.62,11,6337.3744,2017
pi-hema,175,6213.41,1,6080.1211,2017
pi-eperozo,198,6110.32,6,23063.3156,2017
pi-jhuangime,234,6047.76,2,3133.9067,2017
pi-littlewood,1115,6046.35,1,5945.4481,2017
pi-thomaswinberry,227,5931.97,1,6693.4947,2017
pi-weare,86,5778.86,1,10909.8822,2017
pi-rtp1,153,5733.27,3,5744.9103,2017
pi-jwal,63,5687.64,2,1698.2861,2017
mpcs51087,772,5602.26,13,5758.7092,2017
pi-rina,139,5602.14,1,6856.8933,2017
pi-stuartrowan,117,5180.32,1,7104.0667,2017
bphs35001,193,5080.96,5,5235.9461,2017
pi-anitescu,173,5008.59,2,5095.8825,2017
pi-l332,1056,4575.55,1,10803.4842,2017
pi-jingyifei,22,4459.78,1,4459.6603,2017
pi-abney,57,4228.22,1,394.2139,2017
pi-simonjon,92,4222.3,1,4222.05,2017
astro33000,791,4041.69,15,5260.005,2017
meng34200,206,3517.3,9,3516.6794,2017
pi-berry,237,3472.01,1,3470.985,2017
pi-yaliamit,1242,3357.4,5,65885.0964,2017
pi-gilbertjack,287,3237.3,9,3236.1661,2017
pi-xisong,185,3142.94,3,14250.58,2017
pi-anants,96,3136.1,1,3135.68,2017
pi-burhan,198,2943.35,3,3163.3892,2017
pi-ckao95,904,2797.05,2,2798.2506,2017
pi-skeedy,164,2647.41,6,2654.8572,2017
pi-jgrogger,45,2399.21,1,2399.0667,2017
pi-rayid,163,2174.94,7,2425.2269,2017
pi-gkaplan,633,2099.45,3,3636.9044,2017
pi-yangili1,259,2000.13,1,1998.9492,2017
pi-ahigh,137,1807.41,2,1873.2522,2017
mpcs56420,943,1582.61,11,1603.1003,2017
pi-gskarczm,364,1497.01,4,2094.6067,2017
pi-tten,81,1464.08,1,1463.7967,2017
pi-kcharles,808,1440.35,1,1436.5972,2017
pi-sgsg,1,1370.62,1,1370.6111,2017
cmsc33520,326,1276.94,4,1276.2872,2017
pi-joet1,200374,1190.0,2,19507.0486,2017
pi-wilsonp,1218,1188.19,2,1185.2856,2017
pi-btian,206,1184.62,2,3535.9822,2017
pi-gnedin,57,1003.93,1,13438.3644,2017
pi-tokmakoff,22857,923.95,8,181657.3217,2017
pi-foster,122,865.39,4,864.8797,2017
rcc-guest,722,765.16,45,767.9183,2017
pi-bermanm,113,763.8,3,1224.155,2017
pi-mnewvill,22,746.32,1,746.2481,2017
pi-awsch,420,695.96,1,694.6447,2017
pi-hsiehchangtai,356,583.2,1,926.5486,2017
pi-scicala,95,528.35,2,96016.0533,2017
pi-wulongtao,183,501.0,1,500.1664,2017
pi-kelloggr,294,428.69,1,416.8597,2017
pi-glk,10063,402.76,2,1400.1792,2017
pi-abinkowski,234,380.47,1,379.0806,2017
pi-mkolar,195,339.48,4,2029.9919,2017
rcc-temp2,69,310.68,2,310.3244,2017
pi-drubin8,147,297.36,3,224.2233,2017
geos33300,82,274.85,4,274.4953,2017
pi-mrsharma,157,213.19,1,448.6275,2017
pi-pjlarivi,174,202.2,2,202.7539,2017
pi-wbwu,60,193.1,1,193.5956,2017
pi-jsolway,625,192.63,1,189.6247,2017
pi-dbrentari,2,191.09,1,191.0833,2017
pi-hdew,31,185.61,2,185.4544,2017
bngsda,82,183.52,18,183.4089,2017
pi-rrock,316,142.99,3,141.4867,2017
pi-caprioli,81,135.94,1,1295.9906,2017
pi-blase,64,126.31,1,125.9403,2017
ling21720,114,122.63,13,122.0586,2017
pi-hfrisch,47,115.96,1,590.1475,2017
pi-egrove,75,105.77,1,110.7453,2017
pi-mcoates,7,79.81,1,79.7839,2017
pi-bata,124,76.28,2,68.34,2017
pi-seifahrt,52,68.42,1,99.5444,2017
pi-mhereld,178,60.68,2,59.9383,2017
pi-dis,730,40.73,6,35.6483,2017
pi-kettimut,244,36.95,4,12701.2389,2017
rcc-instructor,26,35.81,2,36.1125,2017
pi-jhr,97,28.04,1,106.4761,2017
pi-jfrieman,21,26.27,1,26.6147,2017
pi-jdube,85,18.72,2,40.2639,2017
pi-sarice,173,14.69,1,25.005,2017
pi-tuecke,115,13.63,1,29.2022,2017
pi-cacioppos,18,12.54,1,12.5833,2017
pi-pricet,16,9.06,2,9.0031,2017
pi-liantaow,6,8.44,2,1.6517,2017
pi-mlong,53,7.2,1,6.9733,2017
pi-rhuang1,6,7.05,2,7.0206,2017
pi-dgallo,14,6.7,1,70.6731,2017
pi-vprince,36,6.43,2,26.2306,2017
pi-mhale,3,5.94,1,5.9231,2017
pi-lorettaau,2,4.28,1,4.2742,2017
pi-richardjeanso,3,3.45,1,3.4342,2017
pi-avoena,3,3.07,2,3.055,2017
pi-malegre,6,3.05,1,3.0269,2017
pi-qitiguo,16,2.76,1,2.7283,2017
pi-emunro,6,2.41,1,2.4853,2017
economgame,115,2.12,14,741.4903,2017
finm32950,13,1.89,7,3.6619,2017
pi-sokolov,7,1.29,1,1.2747,2017
pi-mrust,3,0.84,1,1.1025,2017
pi-onibasu,5,0.55,1,0.5458,2017
pi-anselin,1,0.29,1,0.2806,2017
pi-jagoldsm,4,0.26,1,0.2839,2017
pi-candogan,1,0.23,1,0.2228,2017
pi-arielfeldman,9,0.19,1,0.155,2017
pi-evtimov,7,0.07,1,22.4944,2017
pi-baderk,1,0.05,1,0.0458,2017
pi-fcattane,3,0.04,1,0.0169,2017
pi-prhahn,2,0.02,1,0.0047,2017
pi-iawad,409,0.0,4,7178.8378,2017
cron-account,70457,0.0,5,502.4717,2017
pi-awh,8,0.0,1,4.1164,2017
pi-ehurst,52,0.0,3,52.0714,2017
rossby,1,0.0,1,64.0189,2017
astroplasmas,2494,0.0,8,3303610.9181,2017
pi-fabrycky,75378,0.0,4,293881.8647,2017
pi-imoskowitz,29,0.0,1,633.5133,2017
caprioli-fcattane,52,0.0,2,67635.1944,2017
pi-drm7,2,0.0,1,0.3731,2017
pi-sliman,71,0.0,1,45357.8611,2017
epic,7,0.0,1,0.4278,2017
pi-emir,1,0.0,1,0.0756,2017
mscagpu,1,0.0,1,0.0,2017
surph,2365,0.0,7,1211513.3606,2017
mgcb32000,142,0.0,1,6940.7186,2017
pi-rstevens,52,0.0,1,0.0,2017
weare-dinner,94062,0.0,18,1442553.9758,2017
pi-tanhuan,47,0.0,1,1283.2844,2017
pi-yamuna,3527,0.0,1,3918.715,2017
pi-tas1,14034,0.0,11,1051068.1944,2017
pi-anmayampurath,2,0.0,1,0.9808,2017
pi-jand312,267,0.0,1,16585.59,2017
kicp,167647,0.0,45,2447345.6292,2017
