account,jobs,su,users,cpuhours,cycle
pi-gavoth,210066,8066797.13,40,27993510.4144,2017
pi-depablo,369669,7593932.9,42,24587666.4831,2017
pi-gagalli,64708,6182699.57,32,16489697.9964,2017
pi-hortacsu,30424,2798494.93,9,2574050.2928,2017
pi-freed,25513,2142300.15,12,2111333.9744,2017
pi-roux,52601,2109468.88,24,7483925.3433,2017
pi-arzhetsky,41400,2062394.15,9,1755046.5039,2017
pi-whu5,73320,2048644.66,6,2078192.0694,2017
pi-dinner,102741,1999191.01,20,1867002.3233,2017
pi-mstephens,207019,1944663.59,19,1875721.8442,2017
pi-yanjingl,29653,1390104.82,2,1132665.1614,2017
pi-abbot,24016,1376245.36,5,1345740.1519,2017
pi-ghitsch,129309,1350196.31,2,1349184.6386,2017
pi-kravtsov,3813,1166057.48,11,1679517.6639,2017
pi-trsosnic,35122,1143412.8,10,1200846.6519,2017
pi-bkeenan,455,1018203.79,2,1018241.3658,2017
pi-ishanu,19167,977671.14,7,960586.2653,2017
pi-kite,4032,974966.97,8,1027699.8942,2017
pi-mfj,1018,959845.48,4,1846404.4903,2017
pi-nfschere,1683,932161.83,5,932697.8708,2017
pi-vmbertho,161,895710.82,1,895710.2489,2017
pi-rkessler,336579,881193.5,21,874425.9747,2017
pi-joshuaelliott,133104,850291.56,5,905820.2867,2017
pi-pascualmm,182720,791574.17,8,698510.3478,2017
rcc-staff,834761,731587.97,26,2001369.0328,2017
pi-sdodelso,14909,682196.11,9,675234.6264,2017
pi-nicho,3366,592034.69,9,596605.0578,2017
pi-gdwyer,81791,532117.84,8,588602.6819,2017
pi-ejadams,1527,514226.89,1,465604.7681,2017
pi-cobey,391551,507582.12,10,1830895.2578,2017
pi-taddy,16665,506504.08,6,312077.7964,2017
pi-tintelnot,10506,421886.2,9,378034.2431,2017
pi-dholz,1223,388658.97,4,388554.2578,2017
pi-avieregg,39169,363796.96,6,350124.285,2017
pi-amurugan,7709,357392.59,6,339547.1392,2017
pi-wenbinlin,23790,321839.66,2,328201.9636,2017
pi-neiman,32414,306993.83,4,248627.1106,2017
pi-rossc,692,233470.27,11,223567.4003,2017
cmsc25025,8837,229646.33,77,226813.9042,2017
pi-jaeger,352,228306.61,5,425097.8094,2017
pi-mkre,1290,222475.67,2,262714.7322,2017
pi-jozik,462,219366.79,3,194541.8683,2017
pi-wtmirvine,2961,213835.53,5,156284.4111,2017
pi-scrosson,520,211775.84,2,212401.24,2017
pi-svaikunt,162395,203485.26,7,1055310.4272,2017
pi-drowley,144,203116.07,1,202849.8356,2017
bios10603,1279,201616.73,43,205268.3622,2017
pi-nbrunel,13026,190101.67,3,179269.9753,2017
pi-gilad,194178,176681.2,12,84666.97,2017
pi-nnn,715,176076.87,3,153259.6953,2017
pi-khanna7,309,169684.02,2,176687.0328,2017
pi-haky,30880,165737.1,7,86517.4611,2017
