account,allocation
pi-rljacob,5000.0
pi-misra,5000.0
pi-yamuna,5000.0
pi-anitarao,5000.0
pi-jpanta,5000.0
pi-jtkubota,5000.0
pi-emackay,5000.0
pi-pvprasad,5000.0
pi-wgreen,5000.0
pi-royce,5000.0
pi-skron,5000.0
pi-fsmiel,5000.0
pi-r6t1,5000.0
pi-haryadi,5000.0
pi-rmorriss,5000.0
pi-irebay,5000.0
pi-slambert,5000.0
pi-mets,5000.0
pi-dglick2,5000.0
pi-jcollins1,5000.0
pi-dmustafi,5000.0
pi-deisenst,5000.0
pi-wcong,5000.0
pi-llu4,5000.0
pi-upadhyay,5000.0
pi-hhalpern,5000.0
pi-akwalker,5000.0
pi-fcattane,5000.0
pi-ferrier,5000.0
pi-kpomeranz1,5000.0
pi-gentzkow,5000.0
pi-dinosaur,5000.0
pi-yjiang,5000.0
pi-tanum,5000.0
pi-forreststuart,5000.0
pi-ggreene,5000.0
pi-cchin,5000.0
pi-cnagler1,5000.0
pi-chard,5000.0
pi-vikramvd,5000.0
pi-mwestnea,5000.0
pi-nsatkinson,5000.0
pi-ptoulis,5000.0
pi-eclaud,5000.0
pi-wkang,5000.0
pi-dbishop,5000.0
pi-ssammet,5000.0
pi-npmarwel,5000.0
pi-archer,5000.0
pi-ebchang,5000.0
pi-jabadner,5000.0
pi-davemilr,5000.0
pi-eatock,5000.0
pi-jwpark,5000.0
pi-danblack,5000.0
pi-rcohen,5000.0
pi-wakely,5000.0
pi-goldschmidta,5000.0
pi-meren,5000.0
pi-ozidar,5000.0
pi-tengyuan,5000.0
pi-shakhnarovich,5000.0
pi-drkovar,5000.0
pi-dyork,5000.0
pi-rezorach,5000.0
pi-tspolons,5000.0
pi-dskinner,5000.0
pi-mludwig,5000.0
pi-aruthenburg,5000.0
pi-woodward,5000.0
pi-mfoote,5000.0
pi-grenoble,5000.0
pi-onibasu,5000.0
pi-evtimov,5000.0
pi-wvandron,5000.0
pi-slv,5000.0
pi-mgilliam1,5000.0
pi-hcn1,5000.0
pi-jtwalsh,5000.0
pi-dvtalapin,5000.0
pi-manishap,5000.0
pi-soltoffbc,5000.0
pi-hsaussy,5000.0
pi-borja,5000.0
pi-rwittenb,5000.0
pi-maltsev,5000.0
pi-nealey,4998.0
pi-blase,4998.0
pi-jstaley,4997.0
pi-avoena,4997.0
pi-jpadgett,4996.0
pi-sraudenb,4996.0
pi-lorettaau,4996.0
pi-dgallo,4994.0
pi-mlong,4993.0
pi-rhuang1,4993.0
pi-vbindoka,4989.0
pi-cacioppos,4988.0
pi-jongrant,4983.0
pi-qitiguo,4980.0
pi-malegre,4975.0
pi-jhr,4972.0
pi-sethi,4971.0
pi-kettimut,4961.0
pi-jponticelli,4955.0
pi-ajaved,4954.0
pi-tuecke,4951.0
pi-emunro,4949.0
pi-mhereld,4937.0
pi-seifahrt,4932.0
pi-jhubbell,4925.0
pi-mcoates,4921.0
pi-gulotty,4920.0
pi-fabrycky,4904.0
pi-sarice,4903.0
pi-egrove,4863.0
pi-tanhuan,4831.0
pi-dbrentari,4794.0
pi-mrsharma,4787.0
pi-hdew,4755.0
pi-hfrisch,4686.0
pi-mhale,4611.0
pi-kelloggr,4572.0
pi-iawad,4510.0
pi-wulongtao,4499.0
pi-asufi,4488.0
pi-abinkowski,4478.0
pi-hsiehchangtai,4417.0
pi-mnewvill,4254.0
pi-hickmanbr,4200.0
pi-sokolov,4108.0
pi-gskarczm,4053.0
pi-sgsg,3630.0
pi-awsch,2869.0
pi-jgrogger,2601.0
pi-anants,1864.0
pi-berry,1528.0
pi-prhahn,922.0
pi-kcharles,428.0
pi-wbwu,84.0
