,account,jobs,su,users,avg_cores,avg_nodes,cpuhours
0,pi-depablo,128027,6909992.38,30,20.5905,1.5637,6909452.9458
1,pi-gavoth,16609,2440484.42,27,18.1873,1.8029,2440408.7608
2,pi-roux,10322,2037586.81,8,27.5703,2.1465,2037545.9414
3,pi-dbiron,3770,1309805.49,7,40.3154,2.6804,1309789.0122
4,pi-kravtsov,922,1249791.13,3,85.8915,5.461,1249787.0231
5,pi-freed,34035,1094133.82,10,2.317,1.1125,1093972.6194
6,pi-joshuaelliott,149013,1005520.57,9,16.7292,1.378,1004965.0736
7,pi-hortacsu,1769,876523.75,13,65.818,5.5037,876516.2519
8,pi-gnedin,16002,835548.94,2,15.6365,1.2265,835488.3525
9,pi-drowley,188,814035.77,1,764.6809,48.1436,814034.9378
10,pi-abbot,2746,725124.15,3,22.4807,8.0488,725112.9489
11,pi-dinner,49793,685450.62,13,8.1733,1.199,685215.5008
12,pi-eperozo,323,540939.96,1,135.7276,8.7864,540938.6667
13,rcc-staff,6140,478940.71,16,50.251,4.3879,478913.7214
14,pi-akonigl,674,461728.49,3,90.1499,5.7433,461725.6117
15,pi-aachien,3216,258098.9,5,52.0967,8.0056,258087.5364
16,pi-ehurst,134542,251536.69,2,1.381,1.1163,250951.2017
17,pi-jfrieman,699,202260.16,1,9.6423,1.0029,202256.8306
18,pi-collar,369250,171599.47,2,0.9977,1.0024,169526.5858
19,pi-rree,571,171145.69,4,24.7198,2.0263,171143.3519
20,pi-fciesla,250,169766.6,2,35.324,13.82,169765.6572
21,pi-taddy,478,162658.84,4,291.7971,19.9854,162657.0831
22,pi-burhan,26240,117219.23,2,11.2748,1.6599,117058.0867
23,pi-dholz,1683,111387.08,1,341.8942,19.9709,111380.8756
24,pi-kite,42598,105868.37,1,1.9535,1.0133,105701.2053
25,pi-vzhorin,275,104609.53,1,81.6073,5.4073,104608.4219
26,pi-mkolar,936,67578.27,1,17.1368,2.6581,67576.335
27,pi-fabrycky,5838,67251.71,3,2.7088,1.0894,67224.8511
28,pi-rwg,9641,65550.64,4,4.4681,1.0281,65513.2583
29,pi-sepalmer,8728,62684.39,3,4.2709,1.1849,62645.6861
30,pi-aaz,337,60379.07,3,10.368,1.0415,60377.5075
31,pi-nbrunel,11561,59814.42,4,1.3943,1.0029,59755.1383
32,pi-moyer,5013,58838.21,9,5.7828,1.2956,58814.4922
33,pi-tintelnot,562,57344.46,2,19.2847,1.5036,57342.4369
34,pi-tokmakoff,8748,56171.08,8,7.816,1.1592,56138.1869
35,pi-jinbo,22910,55940.94,5,3.6189,1.2759,55842.4553
36,cmsc12300,101,55723.31,9,18.3168,2.9703,55722.8536
37,bios11103,230,52109.21,7,95.3304,6.0174,52108.5308
38,pi-yaliamit,1052,50634.16,4,41.5171,2.9392,50629.5425
39,pi-nicho,536,45362.21,4,10.5709,1.1716,45360.1472
40,pi-wenbinlin,827,40596.51,3,8.7473,1.0254,40592.8606
41,pi-kazutaka,237,34248.1,3,9.9198,1.0042,34247.0525
42,pi-rossc,347,33003.05,6,10.5764,1.0115,33001.4981
43,pi-wilde,7460,31718.27,6,19.4551,1.6202,31689.1256
44,pi-rkessler,138970,28673.89,7,0.9883,1.0121,27904.7267
45,pi-jozik,402,28059.34,2,15.2687,1.2662,28057.8511
46,pi-gilbertjack,4279,24419.65,8,6.5688,1.1075,24403.0583
47,pi-jaredlewis,128,23731.05,2,14.1094,1.4297,23730.4733
48,cspp51087,633,22950.99,15,18.357,1.6382,22948.3239
49,pi-rbgramacy,384,22168.66,1,37.9297,2.5365,22166.9464
50,pi-neiman,1068,21769.84,2,11.4831,1.0627,21765.3436
51,pi-rtp1,2217,21504.77,3,15.3433,7.5719,21495.8386
52,pi-liantaow,337025,14529.95,3,0.9913,1.0098,12777.5656
53,chem26800,1746,12191.56,22,2.9273,1.1667,12182.6739
54,pi-richardjeanso,525,10185.09,4,5.4305,1.259,10182.9778
55,pi-mstephens,28756,9616.93,2,1.095,1.002,9475.6897
56,pi-whu5,75,9555.68,1,34.56,2.4667,9555.44
57,pi-lupingyu,5,9216.65,1,51.2,4.4,9216.64
58,pi-jevans,974,8751.22,10,14.6047,2.0862,8749.4967
59,pi-gagalli,892,8065.75,3,108.3251,6.8733,8062.1025
60,pi-dhooper,1979,7818.48,1,0.9141,1.0227,7809.5931
61,pi-gdwyer,1651,7211.09,2,1.745,1.0575,7202.4028
62,pi-kkawaji,96,5465.89,1,8.8854,1.0833,5465.4544
63,pi-rjlalond,106,5225.11,4,3.1887,1.0377,5224.5417
64,pi-ishanu,132,5054.86,1,10.4848,1.0303,5054.1467
65,pi-skeedy,336,4966.95,6,2.8036,1.0238,4965.2108
66,pi-jagoldsm,147,4514.48,2,20.381,1.7891,4513.9289
67,pi-mlcoleman,1118,3254.71,3,1.7442,1.8605,3252.1317
68,pi-aclyu,553,3051.6,6,3.7902,3.34,3049.0181
69,pi-weyl,939,2888.59,3,1.7881,1.0735,2883.7403
70,pi-dachxiu,59,2347.63,1,16.0,1.0,2347.3378
71,pi-levin,79,2285.16,3,11.1139,1.0127,2284.8092
72,pi-gan1,212,2069.64,1,40.3396,3.5472,2068.5653
73,pi-nikolaev,22,1644.98,2,15.2727,1.0455,1644.88
74,pi-wtmirvine,91,1359.07,2,203.2418,12.7582,1358.7092
75,pi-ghitsch,69,1317.41,1,11.2029,1.029,1317.1197
76,pi-foster,6,1286.11,1,128.0,8.0,1286.08
77,soci40133,8699,1253.55,18,1.0798,1.0036,1209.7072
78,pi-cpel,43,1238.44,2,13.8837,1.0233,1238.2772
79,pi-price,8,1193.83,1,864.0,54.25,1193.8133
80,pi-uschmid,35,1065.81,1,10.4571,1.1714,1065.6369
81,pi-dpope,54,915.08,1,6.9074,1.3889,914.9467
82,pi-sdodelso,180,895.05,2,1.3444,1.0333,894.1111
83,bfi,219,876.25,2,1.274,1.0365,875.0447
84,pi-jongrant,15,865.24,1,15.0,1.0,865.1594
85,pi-asufi,8,665.64,1,6.375,1.125,665.6117
86,pi-cobey,2690,637.26,2,0.9602,1.0398,621.0436
87,pi-arzhetsky,634,621.89,1,0.9937,1.0063,618.5153
88,rcc-software,31,584.38,1,84.7097,5.8387,584.2078
89,cmsc33001,229,515.85,6,9.6376,5.5939,514.8908
90,pi-vikramvd,11,453.54,1,52.3636,3.2727,453.5111
91,pi-cosar,9,344.47,1,2.2222,1.0,344.4553
92,pi-sarice,66,150.88,1,1.0,1.0,150.5447
93,mgcb32000,101,143.99,12,0.9901,1.0099,143.5014
94,pi-siegela,8,104.65,1,6.625,1.0,104.6044
95,pi-jabadner,45,75.08,1,0.9778,1.0222,74.8753
96,pi-evtimov,67,69.26,3,0.9701,1.0746,68.9689
97,pi-dyork,49,48.43,1,3.6122,1.4082,48.1492
98,rcc-guest,86,41.63,19,2.8605,1.1279,41.1494
99,astr33000,66,32.52,13,1.0,1.0,32.1664
100,intromri2014,14,20.52,4,1.0,1.0,20.4425
101,pi-mhale,3,19.9,1,6.0,1.0,19.875
102,pi-pchintag,10,17.1,1,4.0,1.0,17.0344
103,pi-lafferty,35,12.98,2,1.4286,1.0,12.8633
104,pi-jaeger,9,10.89,1,2.6667,1.0,10.8492
105,pi-glk,680,10.64,2,1.0265,1.0265,6.5228
106,pi-qitiguo,8,7.43,1,8.5,1.0,7.39
107,pi-emunro,5,6.12,1,1.0,1.0,6.0914
108,pi-jlist,5,5.53,1,1.0,1.0,5.5019
109,pi-sliman,1,4.61,1,4.0,1.0,4.6033
110,pi-drm7,5,4.05,3,7.0,1.0,4.0431
111,pi-dis,4,3.69,1,1.0,1.0,3.67
112,pi-ebchang,59,3.61,1,0.9661,1.0339,3.2197
113,pi-mpho1,6,2.67,1,1.0,1.0,2.6408
114,pi-lamadon,3,2.25,1,1.0,1.0,2.2264
115,cmsc34900,2,1.92,1,1.0,1.0,1.9042
116,pi-sgsg,1,0.59,1,1.0,1.0,0.5803
117,pi-wkang,1,0.33,1,1.0,1.0,0.3258
118,pi-mglotzer,1,0.21,1,1.0,1.0,0.2014
119,pi-rayid,5,0.08,1,1.0,1.0,0.0611
120,nvidia,3,0.05,1,1.0,1.0,0.0289
121,pi-jhr,5,0.05,1,16.0,1.0,0.0267
122,pi-jecarlst,4,0.04,1,1.0,1.0,0.0036
123,pi-kettimut,2,0.02,1,1.0,1.0,0.0025
124,pi-ckao95,1,0.01,1,1.0,1.0,0.0003
125,rcc-temp1,1,0.01,1,1.0,1.0,0.0044
126,pi-rljacob,1,0.0,1,0.0,2.0,0.0
127,pi-cchen3,1,0.0,1,0.0,2.0,0.0
