,account,jobs,su,users,avg_cores,avg_nodes,cpuhours
0,pi-depablo,280213,5599435.43,25,15.4372,1.0765,5598894.0722
1,pi-gavoth,14916,2209172.35,26,27.5141,2.3598,2209127.4683
2,pi-roux,4913,1628073.21,11,37.9546,2.9689,1628057.9467
3,pi-freed,12722,1374834.35,9,25.8114,2.5006,1374792.3506
4,pi-kravtsov,3679,1287102.48,2,174.4091,11.5439,1287093.5369
5,pi-dbiron,2766,707289.27,6,60.5383,4.1186,707277.7431
6,pi-dinner,38931,517118.63,7,8.6615,1.3566,516990.485
7,pi-drowley,171,512915.2,1,459.6082,28.9298,512914.4267
8,pi-eperozo,459,506681.18,1,94.2484,6.7059,506680.0
9,pi-fciesla,1515,498717.06,2,24.9782,5.2568,498710.975
10,pi-abbot,1150,435889.5,4,38.5687,5.2904,435884.9369
11,pi-dachxiu,2427,326662.45,3,14.131,1.1092,326652.6422
12,rcc-staff,6048,210129.72,15,33.6682,5.6182,210102.7608
13,pi-wilde,7893,132879.06,7,12.6498,1.3924,132855.9308
14,pi-joshuaelliott,2560,112361.76,7,22.5645,2.4988,112350.4444
15,pi-nbrunel,4786,104132.25,3,3.538,1.0938,104110.7853
16,pi-dholz,17,100256.5,1,451.7647,28.5882,100256.4267
17,pi-aaz,1368,60515.09,1,28.3743,2.0439,60510.04
18,pi-akonigl,193,56534.82,2,41.7824,2.7772,56533.9911
19,pi-gnedin,57,55536.41,1,168.9825,10.9123,55536.2578
20,pi-tokmakoff,10971,54031.42,9,3.915,1.1338,53982.5411
21,pi-jfrieman,196,50276.19,1,8.0714,1.0204,50275.3428
22,pi-lupingyu,52,44910.61,1,54.7692,3.6538,44910.4311
23,pi-cpel,3033,36273.11,1,2.8839,1.3416,36264.4158
24,cmsc33001,138,32765.57,2,32.0942,3.0,32764.9289
25,pi-deisenst,256,32078.52,1,19.3477,2.6953,32077.6403
26,pi-jheckman,160,29571.81,1,68.475,4.8688,29571.065
27,pi-mstephens,5971,28160.39,2,1.1306,1.2211,28140.245
28,pi-jtruran,186,24286.69,3,25.3441,2.2527,24285.9411
29,swift,5605,16240.13,6,10.4412,1.4555,16222.5733
30,pi-ckao95,67,15573.29,2,41.9104,4.4925,15572.9661
31,pi-ad15,858,13478.84,1,11.0641,1.6748,13474.8814
32,pi-arzhetsky,1467,11715.15,2,3.591,1.0798,11708.1192
33,pi-rbgramacy,28,9693.66,1,306.8571,19.25,9693.5244
34,pi-taddy,287,7908.26,1,93.3066,6.2857,7907.3089
35,pi-moyer,1299,6886.4,3,1.2263,1.0855,6880.2692
36,pi-rjlalond,30,6798.22,1,12.0,1.0333,6798.1467
37,pi-rkessler,51447,6749.01,5,0.9982,1.002,6452.9975
38,pi-dyork,32,6122.11,1,19.3438,5.0625,6121.9961
39,pi-rwg,19672,5799.82,3,0.9995,1.0004,5727.3664
40,pi-gilbertjack,434,5237.78,4,5.0599,1.1152,5235.9803
41,pi-vzhorin,66,5013.92,1,9.8182,1.1212,5013.6392
42,pi-cosar,123,4346.83,1,9.7317,1.3984,4346.4878
43,cspp51087,2883,4289.92,14,20.2185,2.0805,4276.4989
44,econ41903,30,2370.35,6,12.3667,1.1333,2370.2333
45,pi-nicho,5115,2208.54,3,0.6829,1.3881,2186.2561
46,pi-sethi,65,2158.88,1,14.7692,1.0769,2158.6
47,pi-skeedy,192,1708.14,6,5.6875,1.1406,1707.2236
48,pi-fabrycky,59,1393.01,2,15.2881,1.0847,1392.7631
49,pi-lafferty,166,1132.94,1,13.5422,1.0181,1132.1489
50,pi-aclyu,107,940.58,2,2.1308,1.1308,940.1072
51,pi-mkolar,1528,393.09,1,0.716,1.3174,387.9286
52,pi-price,25,220.46,1,14.6,1.48,220.3597
53,pi-siegela,46,160.77,1,5.5435,1.3913,160.6336
54,pi-vikramvd,19,123.4,1,25.3158,1.6316,123.3514
55,cmsc12300,48,87.86,7,11.6667,3.0417,87.6733
56,pi-rrosner,160,82.3,1,0.975,1.025,81.4628
57,rcc-guest,109,34.19,13,6.3028,1.5046,33.7233
58,pi-uschmid,33,29.06,1,1.0,1.0,28.9286
59,pi-rtp1,50,24.82,2,4.0,1.58,24.7178
60,psd,13,6.14,1,1.0769,1.0769,6.0725
61,pi-slv,2,4.15,1,12.0,1.0,4.15
62,pi-jabadner,7,2.85,1,14.4286,1.5714,2.8206
63,pi-dpope,10,2.13,1,1.4,1.8,2.0767
64,pi-ossa,1,2.01,1,1.0,1.0,2.0069
65,pi-hortacsu,9,0.27,1,5.6667,1.3333,0.2383
66,pi-gruzberg,5,0.07,1,0.8,1.4,0.0567
67,sandbox,3,0.0,1,0.3333,1.6667,0.0
