account,allocation
pi-depablo,2000000.0
pi-gavoth,1325000.0
pi-freed,700000.0
pi-joshuaelliott,500000.0
pi-fciesla,500000.0
pi-drowley,500000.0
pi-dinner,500000.0
pi-roux,500000.0
pi-eperozo,500000.0
pi-dbiron,300000.0
pi-fabrycky,160000.0
pi-kravtsov,150000.0
pi-dholz,142000.0
pi-abbot,110000.0
pi-nicho,100000.0
pi-mstephens,100000.0
pi-cpel,100000.0
pi-tokmakoff,98000.0
pi-akonigl,96000.0
pi-lupingyu,90000.0
pi-rbgramacy,75000.0
pi-aaz,75000.0
pi-nbrunel,63000.0
pi-ad15,50000.0
pi-wilde,50000.0
pi-aachien,50000.0
pi-rkessler,50000.0
pi-aclyu,50000.0
pi-taddy,50000.0
pi-arzhetsky,50000.0
pi-jtruran,50000.0
pi-jfrieman,50000.0
pi-skeedy,50000.0
pi-dyork,31000.0
pi-gilbertjack,10000.0
pi-rwg,10000.0
pi-deisenst,5000.0
pi-moyer,5000.0
