account,allocation
pi-depablo,3250000.0
pi-gavoth,2600000.0
pi-roux,2000000.0
pi-rossc,2000000.0
pi-taddy,1600000.0
pi-freed,1550000.0
pi-kite,1500000.0
pi-gagalli,1500000.0
pi-sepalmer,1500000.0
pi-wtang,1500000.0
pi-jecarlst,1200000.0
pi-bkeenan,1141000.0
pi-rkessler,1110000.0
pi-aaz,1093000.0
rcc-temp2,1010000.0
pi-abbot,1000000.0
pi-vmbertho,1000000.0
pi-svaikunt,900000.0
pi-joshuaelliott,900000.0
pi-hortacsu,850000.0
pi-jschnei1,825000.0
pi-arzhetsky,800000.0
pi-mstephens,790000.0
pi-whu5,750000.0
pi-lgrandi,700000.0
pi-rbgramacy,700000.0
pi-kazutaka,650000.0
pi-fciesla,650000.0
pi-trsosnic,605000.0
pi-dinner,600000.0
pi-jaredlewis,600000.0
pi-ftchong,550000.0
pi-pascualmm,550000.0
pi-avieregg,500000.0
pi-dholz,500000.0
pi-nicho,500000.0
pi-kravtsov,500000.0
pi-gan1,500000.0
pi-ishanu,500000.0
pi-dachxiu,500000.0
pi-rwg,500000.0
pi-gdwyer,500000.0
pi-tintelnot,500000.0
pi-neiman,470000.0
pi-jnovembre,456000.0
pi-burhan,453000.0
pi-nfschere,400000.0
pi-vzhorin,400000.0
pi-aclyu,400000.0
pi-cobey,360000.0
pi-johntmurphy,350000.0
pi-dbiron,300000.0
pi-mfj,280000.0
pi-jacobbean,250000.0
pi-jozik,250000.0
pi-eperozo,250000.0
pi-jevans,210000.0
pi-drowley,200000.0
pi-scrosson,180000.0
pi-yaliamit,175000.0
pi-ehurst,160775.0
pi-sibener,150000.0
pi-rtp1,150000.0
pi-skeedy,143000.0
pi-akonigl,120000.0
pi-jagoldsm,100000.0
pi-rayid,100000.0
pi-mkre,100000.0
pi-collar,97500.0
pi-mlcoleman,97000.0
pi-gmatvos,97000.0
pi-nbrunel,95000.0
pi-drm7,93000.0
pi-sdodelso,85000.0
pi-mkolar,76000.0
pi-risi,70000.0
pi-khanna7,63000.0
pi-jfrieman,61000.0
pi-rjlalond,61000.0
pi-wilsonp,59000.0
pi-tokmakoff,57000.0
pi-sshahul,55000.0
pi-levin,53000.0
pi-lamadon,50000.0
pi-stin,50000.0
pi-gilbertjack,50000.0
pi-nnn,50000.0
pi-salesina,50000.0
pi-aachien,50000.0
pi-aolinto,50000.0
pi-haky,50000.0
pi-xisong,50000.0
pi-jdingel,50000.0
pi-vavra,50000.0
pi-gilad,50000.0
pi-cpel,49000.0
pi-richardjeanso,45000.0
pi-kkawaji,45000.0
pi-btian,45000.0
pi-ejadams,44000.0
pi-pchintag,43000.0
pi-moyer,37000.0
pi-dhooper,33000.0
pi-bkelly0,33000.0
pi-rrock,33000.0
pi-cosar,33000.0
pi-wenbinlin,31000.0
pi-wtmirvine,30000.0
pi-dpope,27000.0
pi-wilde,25000.0
pi-weyl,23000.0
pi-sokolov,10000.0
pi-amurugan,10000.0
pi-ljb4,10000.0
pi-liantaow,9000.0
pi-jinbo,9000.0
pi-tas1,5000.0
pi-glk,5000.0
pi-gskarczm,1000.0
rcc-staff,100.0
