cycle,broadwl,sandyb,total_su
2013,0.0,27925111.549294952,27925111.549294952
2014,0.0,39628809.26364696,39628809.26364696
2015,0.0,34935163.71271536,34935163.71271536
2016,0.0,34999114.73918592,34999114.73918592
2017,89562519.07931392,38032591.62448457,127595110.70379849
2018,112942554.1475532,40084478.59327213,153027032.74082533
