,account,jobs,su,users,avg_cores,avg_nodes,cpuhours
0,legacy,196702,6858373.75,24,11.2931,1.1521,5379136.2308
1,pi-depablo,22339,3647632.25,28,25.3279,1.5012,3167726.4825
2,pi-gavoth,12332,3133855.81,28,50.546,2.8039,2809680.9072
3,pi-gagalli,3458,3064556.23,16,285.6342,11.3103,2364255.2608
4,pi-ishanu,204724,2649028.88,9,23.7271,1.0269,2018648.9619
5,pi-dachxiu,156166,2334717.06,11,5.1442,1.0017,1371395.3667
6,pi-dinner,142759,2300718.15,18,5.3461,1.0132,1747709.0528
7,pi-roux,5219,2034366.87,14,47.5758,2.3206,1617424.2631
8,pi-arzhetsky,6320,1738744.34,9,6.0981,1.0229,369816.5461
9,pi-weare,24392,1530347.98,5,12.614,1.2612,1145658.7764
10,pi-vmbertho,370,1453876.57,1,633.6,39.6811,1453876.5778
11,pi-priviter,44714,1379441.54,5,10.4113,1.2507,1032046.0589
12,pi-freed,917,1282406.54,7,256.7721,9.6892,990617.4689
13,pi-mstephens,126754,1204793.23,17,3.6299,1.0055,414645.5053
14,pi-kite,2823,1017431.66,6,40.2671,3.1938,869032.9631
15,pi-whu5,8794,918980.09,6,19.2797,1.2265,918509.5111
16,pi-taddy,10669,913111.83,5,27.4392,1.9571,538833.7619
17,pi-mengjiechen,15258,821176.9,1,1.0,1.0,34115.7897
18,pi-yanjingl,3266,810375.47,2,19.8031,1.8739,538863.5939
19,pi-gnedin,368,713689.86,2,166.3832,10.5163,713689.5106
20,pi-rkessler,510786,685433.39,16,2.0454,1.0294,673330.9094
21,pi-mfj,734,672033.74,5,188.3038,6.7357,516950.1778
22,pi-gdwyer,8901,650378.74,7,3.174,1.0017,347335.7025
23,pi-sdodelso,1969,594728.96,4,35.5642,2.2275,594727.4411
24,pi-lgrandi,125033,526166.85,38,3.4655,1.0581,277976.9717
25,pi-svaikunt,16616,521097.75,4,4.3811,1.0004,441972.3808
26,pi-gilad,294134,513781.66,15,1.7825,1.0085,144433.2311
27,pi-trsosnic,17729,497683.96,8,3.0796,1.0397,397621.6408
28,pi-khanna7,238,492038.67,4,311.8319,11.6261,378328.5078
29,pi-abbot,39265,484179.46,4,36.5199,2.7064,369906.3994
30,pi-jlskinner,75324,470902.2,4,1.4394,1.0,404537.8928
31,pi-avieregg,27625,459660.51,5,5.4262,1.0,333313.8933
32,pi-cobey,73189,441151.26,6,1.0809,1.0,96891.5214
33,pi-ghitsch,46704,438038.93,1,16.6515,1.0,273811.9586
34,pi-hortacsu,9445,415036.95,6,9.134,1.6596,289246.7283
35,pi-kravtsov,1405,375440.63,8,33.1032,2.1345,329096.0042
36,pi-xinhe,272787,360655.69,11,3.0716,1.0061,82987.6561
37,pi-amurugan,11932,358249.8,5,5.222,1.2541,339797.3956
38,pi-pascualmm,39816,287272.99,7,2.0139,1.0,73347.9867
39,pi-nfschere,374,264599.36,2,76.9626,5.1096,264599.3956
40,pi-moyer,748,259983.21,7,26.0709,1.7513,197002.9825
41,pi-ejadams,841,249158.2,1,129.8644,5.1379,193746.2133
42,pi-levin,12683,246714.32,3,45.2044,4.2575,131107.3931
43,pi-nnn,646,243032.92,1,48.8297,1.8885,187038.3706
44,pi-srnagel,20989,225345.87,2,1.0441,1.0003,44135.2192
45,pi-berkelbach,32288,203548.28,9,1.8755,1.0097,108474.8706
46,pi-jdingel,23983,199204.65,4,15.6121,1.0029,140637.4333
47,pi-wenbinlin,2462,197973.51,1,13.3875,1.0,187942.96
48,bphs35001,1326,197456.88,6,57.6259,3.6335,195127.9036
49,pi-aaz,273,189811.86,2,52.315,1.8864,146009.3744
50,pi-vavra,36262,169134.66,1,12.7837,1.0,112779.4803
51,pi-jheckman,1578,168903.59,1,22.1812,1.3802,148252.6436
52,rcc-staff,42832,143838.21,18,3.2275,1.0773,112249.5439
53,pi-yangili1,146509,138848.15,7,1.5521,1.1382,45646.7386
54,bios10603,821,131895.22,33,111.497,4.067,101612.0239
55,pi-rtsay,4,126511.41,1,28.0,1.0,97316.4656
56,pi-jozik,334,122521.48,4,130.1078,8.6647,84050.7136
57,pi-jsolway,4565,106213.5,1,1.0366,1.0015,3879.8203
58,pi-jaeger,221,96314.79,4,42.7285,3.0362,96292.2381
59,pi-foster,9492,91686.51,3,13.5304,1.0,91687.0408
60,pi-risi,817,87750.42,4,16.0135,1.0,77382.4539
61,msca,1301,82640.71,58,73.093,3.2898,53310.0117
62,pi-caprioli,13568,79887.67,2,531.0416,19.0016,61462.15
63,pi-weberm,10997,77200.24,2,6.7352,1.0,14473.7508
64,pi-gkaplan,775,62873.77,3,34.0748,1.4232,47995.4575
65,pi-neiman,4766,60682.71,3,7.4368,1.0006,22342.0372
66,pi-tas1,358,60353.9,9,57.2458,3.8883,59475.1381
67,pi-jnovembre,3847,55023.56,13,47.1284,2.3119,35935.5439
68,pi-stin,915,53394.89,2,18.5082,1.3486,41731.4281
69,pi-oto,67,50503.77,1,483.7015,17.403,38849.1253
70,pi-dholz,4407,48511.12,3,26.2696,1.0272,38728.2675
71,pi-mkolar,6769,47514.35,3,30.3967,2.5793,35939.1453
72,pi-littlewood,1384,47413.47,1,31.9422,2.7695,38677.4881
73,pi-awh,2255,47170.15,5,7.0226,1.0399,24651.7486
74,pi-mrust,127,46423.67,1,17.9213,1.0157,43784.1689
75,pi-jrussell,7591,46407.11,1,2.0374,1.0,31831.6108
76,pi-tintelnot,1408,45885.47,4,12.6186,1.0,36197.8783
77,pi-lhansen,6110,36191.5,1,9.4861,1.0682,27811.0117
78,pi-nicho,99,33413.47,1,34.5051,2.2121,27215.6539
79,pi-baderk,2779,32510.12,3,15.9975,1.0241,31770.4569
80,pi-tten,94,27797.34,1,7.234,1.0,23315.5444
81,pi-jingyifei,2696,26275.72,2,6.4254,1.2967,25465.6397
82,pi-burhan,490,26083.87,1,1.0,1.0,2945.0903
83,bios26120,314,23760.18,20,24.7389,1.2548,17216.9536
84,pi-chuanhe,691,23575.78,1,19.1302,1.0724,11439.5139
85,pi-skeedy,178,23038.95,4,37.9045,3.1573,22474.7731
86,pi-aachien,492,21628.94,3,150.6098,11.5427,11836.7239
87,msca32017,551,21311.82,21,83.7314,3.0907,16393.7611
88,cmsc25025,1196,21084.55,61,12.3462,1.1388,17484.5572
89,pi-rwg,51145,21031.09,4,1.0018,1.0018,20654.5808
90,pi-scicala,33,20810.48,1,25.7273,1.0,16148.1278
91,bios10602,2177,20678.35,36,7.203,1.0845,16035.1383
92,pi-jwal,90,18731.88,1,51.6222,3.2667,17440.3706
93,pi-sepalmer,188,16577.44,5,16.8457,1.0,15650.5497
94,pi-gconstan,134,16400.13,1,42.6269,1.9328,12627.5367
95,macs60000,1105,16323.85,33,3.7801,1.1231,10237.3142
96,pi-dis,13053,15803.76,3,17.3549,1.1266,14772.0894
97,pi-kazutaka,123,14493.05,2,25.0732,1.0,14007.5122
