,account,jobs,su,users,avg_cores,avg_nodes,cpuhours
98,pi-berge,205,11958.52,1,25.0683,22.9415,1030.1683
99,pi-jhuangime,155,11834.84,1,7.8774,2.5161,1242.7031
100,pi-mlcoleman,4063,11798.56,6,2.2766,1.0,11528.5797
101,pi-bursztyn,286,9820.21,1,25.549,1.4301,7553.9942
102,pi-rossc,12384,9664.79,5,4.4395,1.249,5712.7858
103,pi-drowley,9,8825.48,1,32.0,4.0,8558.0267
104,meng32000,1168,8585.08,25,21.7021,1.262,7300.2808
105,pi-larogers,86,7966.34,2,16.3488,1.6977,7932.1889
106,pi-jand312,136,6317.76,1,17.0662,1.0,3437.9828
107,pi-sliman,28,6104.28,2,24.5714,1.3571,4698.5069
108,pi-hema,155,5536.75,1,17.7742,1.0581,5371.4936
109,pi-jstubbs1,233,5379.28,1,64.0,5.1545,5379.2889
110,pi-melamed,85,4953.01,1,2.1059,1.1412,532.9469
111,pi-onibasu,867,4064.85,4,1.6597,1.0554,985.5986
112,pi-joet1,2253,4003.95,3,2.9374,1.0067,3567.9994
113,pi-tcovert,96,3986.07,3,12.7708,1.0417,2932.5725
114,pi-bata,287,3880.77,2,20.4321,1.9199,2959.4536
115,pi-ahigh,157,3671.82,1,48.6879,1.7389,2824.4456
116,pi-bermanm,336,3558.82,5,4.7857,1.0119,3557.9869
117,pi-stuartrowan,26,3473.66,1,16.0,1.0,3473.6844
118,pi-gskarczm,36,3405.56,2,2.1667,1.4722,363.6672
119,pi-anitescu,13,3318.38,2,26.3077,1.2308,2552.6006
120,pi-blattman,43,3236.99,1,62.5349,3.9302,1853.0564
121,pi-prhahn,6559,3135.81,1,3.5149,1.0,2412.0956
122,pi-gardel,80,3049.59,1,16.9375,1.0,2419.9008
123,pi-ckao95,9141,2909.51,2,1.0,1.0,2908.1892
124,pi-jaredlewis,49,2589.35,3,11.4082,1.0,1909.7547
125,pi-ftchong,480,2299.52,2,1.0563,1.0,93.5772
126,pi-wilsonp,887,2234.42,2,15.628,1.0,2234.7044
127,pi-aesserkahn,96,2173.81,4,10.2188,1.0,1707.2083
128,pi-drubin8,202,2031.96,5,1.703,1.3317,414.0194
129,pi-simonjon,9,1901.44,1,13.5556,5.1111,577.1694
130,pi-haky,1554,1893.87,4,1.0045,1.0,365.9092
131,pi-bkeenan,53,1823.08,1,3.8302,1.0,1812.0753
132,pi-rcaldentey,682,1786.52,1,1.5821,1.1613,669.8119
133,pi-l332,1135,1688.33,3,1.9753,1.0881,1366.6006
134,pi-wulongtao,318,1682.75,1,7.7642,1.0126,750.6686
135,pi-mrsharma,78,1675.27,1,1.0,1.0,323.4131
136,pi-sgsg,19,1627.19,2,20.0526,1.6842,1603.5472
137,pi-pchintag,22,1441.28,1,42.9091,2.7727,1441.28
138,pi-jagoldsm,88,1318.73,2,60.8864,2.9773,1014.3944
139,pi-awsch,610,1311.03,3,7.3377,7.3377,1311.0003
140,pi-nissa1,17,1301.56,1,8.0,1.0,1001.2044
141,pi-ravenben,207,1296.09,1,1.7391,1.0,746.7625
142,pi-hdew,308,1191.67,2,7.2045,1.3734,1191.6733
143,pi-rjlalond,69,1176.39,2,8.7536,1.0145,879.3081
144,pi-kavibhalla,1072,1130.76,2,1.5905,1.0616,987.33
145,pi-adrobyshevsky,45,1129.76,1,40.3111,1.2,892.3919
146,astr33000,62,1026.31,5,16.3548,1.1129,801.0511
147,mpcs51087,1160,976.59,13,38.9603,2.4612,973.9172
148,mpcs56420,1322,876.13,7,10.5696,1.4947,825.1931
149,pi-wilde,129,875.14,3,9.5349,1.031,875.2122
150,pi-adirienz,535,846.72,1,1.0,1.0,126.0761
151,pi-lekheng,144,831.44,1,19.6806,2.5139,827.9617
152,pi-jstaley,143,800.5,1,3.8182,1.0,167.8606
153,pi-rtp1,252,793.51,1,2.0516,1.0317,789.8925
154,pi-xisong,16,669.96,3,12.375,1.125,656.1436
155,pi-gilbertjack,99,648.08,4,2.2525,1.0101,128.0347
156,pi-yaliamit,31,603.36,2,24.6129,1.0,468.4883
157,pi-uakcigit,34,584.27,1,27.0882,1.0,449.4406
158,pi-scrosson,13,535.54,1,4.1538,1.0,63.6933
159,pi-rrock,252,470.98,2,10.7063,1.5595,422.7056
160,pi-ptoulis,16,459.5,2,6.875,1.25,363.4639
161,rcc-guest,57,455.12,19,11.9123,1.1228,325.5256
162,pi-rayid,123,451.49,3,5.4472,1.0732,390.6178
163,mapss-econ,25,365.79,1,1.0,1.0,281.3742
164,pi-hsiehchangtai,26,347.97,1,29.3462,5.0385,262.2211
165,ppha30531,47,285.52,20,2.2766,1.0,231.1425
166,pi-vprince,641,281.3,3,2.3666,1.0,214.4553
167,pi-kelloggr,445,268.73,2,1.0921,1.0067,268.6272
168,pi-nealey,19,223.57,2,20.2632,1.0,186.3869
169,pi-fritziea,14,172.93,1,1.0,1.0,22.4233
170,pi-glk,4828,156.63,3,1.028,1.0,140.4006
171,pi-btian,4256,150.74,2,1.0073,1.0002,126.5392
172,pi-emunro,27,109.85,1,15.4444,1.037,109.8472
173,bios10130,20,90.72,1,2.35,1.0,40.8325
174,stat37820,87,90.51,11,2.5287,1.0115,84.9578
175,pi-anselin,155,81.99,2,8.0194,1.5548,36.2342
176,pi-mlong,65,68.2,1,1.0,1.0,68.2486
177,chem26800,464,45.12,10,1.194,1.0108,25.6747
178,pi-jfrieman,16,42.96,1,10.375,1.0,40.9667
179,pi-hickmanbr,7,42.76,1,32.4286,5.5714,20.2636
180,pi-sraudenb,13,42.49,1,1.0,1.0,42.4928
181,pi-fabrycky,11,38.99,2,1.0,1.0,38.9972
182,pi-hfrisch,3,38.49,1,16.0,1.0,38.4933
183,pi-lamadon,12,31.98,1,1.0,1.0,14.7414
184,pi-tuecke,53,28.68,1,1.0,1.0,28.6519
185,pi-manishap,7,28.03,1,1.0,1.0,28.03
186,pi-hoytlong,310,22.71,1,1.0,1.0,4.66
187,pi-pjlarivi,23,17.15,4,12.1739,1.3043,16.8875
188,pi-mhereld,71,11.89,1,14.0986,1.0,11.5639
189,pi-pricet,22,9.89,2,7.1364,1.0,8.8958
190,pi-abinkowski,79,7.47,2,6.2911,1.1646,7.6072
191,pi-qitiguo,10,6.04,1,1.0,1.0,6.0392
192,macs30200,3,5.21,1,6.0,1.0,4.57
193,pi-bpopko,7,4.25,1,1.0,1.0,3.2839
194,pi-tzeferacos,12,3.14,1,1.0,1.0,3.1339
195,pi-jevans,5,3.12,2,1.0,1.0,2.1422
196,pi-joshuaelliott,2,2.58,1,1.0,1.0,2.5836
197,pi-sarice,17,2.46,1,14.5882,1.0,2.4733
198,pi-wtang,1,2.17,1,1.0,1.0,0.7239
199,pi-xczhang,7,2.02,1,1.5714,1.0,0.6344
200,pi-anants,1,2.0,1,1.0,1.0,2.0039
201,pi-nchevrier,125,1.56,2,1.104,1.0,0.9586
202,pi-gb11,2,0.79,1,1.0,1.0,0.7958
203,pi-fcattane,6,0.75,1,1.0,1.0,0.6681
204,pi-aruthenburg,40,0.72,1,1.0,1.0,0.2489
205,pi-mlzhao,4,0.36,2,1.0,1.0,0.36
206,pi-tays,44,0.28,1,1.6136,1.0,0.2553
207,hgen47100,8,0.2,1,28.0,1.0,0.1556
208,pi-junchenj,4,0.03,1,4.75,1.0,0.0311
209,pi-tokmakoff,1,0.02,1,2.0,1.0,0.0072
210,pi-sokolov,1,0.0,1,1.0,1.0,0.0028
211,pi-dbrentari,1,0.0,1,1.0,1.0,0.0003
212,pi-eperozo,1,0.0,1,1.0,1.0,0.0003
213,mxcheng,2,0.0,1,1.0,1.0,0.0
