account,jobs,su,users,cpuhours,cycle
pi-xisong,56,13963.03,3,1177.5925,2018
pi-yaliamit,83,13797.08,3,6207.6278,2018
pi-rossc,14032,12982.87,11,7144.9936,2018
pi-berge,205,11958.52,1,1030.1683,2018
pi-aesserkahn,137,11917.81,4,5485.4994,2018
pi-bermanm,498,11533.98,7,5587.1939,2018
cmsc25025,483,9988.81,48,7822.4583,2018
pi-bkeenan,93,9474.27,1,3178.7619,2018
pi-jand312,315,9206.05,2,12148.2194,2018
pi-drowley,9,8825.48,1,8558.0267,2018
pi-wtmirvine,40,8258.26,2,736.1222,2018
meng32000,1111,7681.74,25,6465.0697,2018
pi-pricet,32,6691.82,2,657.5564,2018
pi-larogers,72,6104.84,2,6082.7322,2018
pi-joet1,2044,5440.3,3,3998.3017,2018
pi-ptoulis,29,5313.65,2,439.3608,2018
pi-pjlarivi,117,5214.75,4,828.1325,2018
pi-ahigh,305,5175.45,3,3981.11,2018
pi-melamed,96,5000.58,1,544.1894,2018
pi-hema,135,4547.27,1,4382.0181,2018
pi-lafferty,3,4459.96,1,428.8433,2018
pi-jstubbs1,183,4402.94,1,4402.9511,2018
pi-ravenben,31,4127.07,1,1500.005,2018
macs60000,1091,4051.11,33,2585.4703,2018
pi-rwevans,22,4013.05,1,730.4944,2018
pi-bata,247,3958.03,2,2978.8383,2018
pi-sliman,275,3748.62,2,17857.8933,2018
pi-onibasu,529,3514.04,4,763.1214,2018
pi-stuartrowan,26,3473.66,1,3473.6844,2018
pi-abney,34,3450.34,1,115.01,2018
pi-gskarczm,78,3438.78,2,386.6028,2018
pi-ckao95,4722,3408.95,2,1946.6136,2018
pi-anitescu,10,3318.32,1,2552.55,2018
pi-wilde,1207,3142.29,4,1447.8883,2018
pi-prhahn,6559,3135.81,1,2412.0956,2018
bios10130,45,2931.48,43,2029.485,2018
pi-gardel,48,2839.75,1,2258.3386,2018
pi-glk,1508,2631.59,6,802.8528,2018
pi-jaredlewis,49,2589.35,3,1909.7547,2018
pi-ebchang,12,2305.61,1,144.1,2018
pi-wilsonp,888,2299.61,2,2242.8533,2018
mapss-econ,127,2271.65,2,2068.8364,2018
pi-wulongtao,404,2261.6,1,1013.9675,2018
pi-rcaldentey,697,2203.93,1,685.3092,2018
pi-jstaley,208,2143.24,1,359.2186,2018
pi-drubin8,202,2030.77,5,412.8314,2018
pi-simonjon,9,1901.44,1,577.1694,2018
pi-haky,1532,1893.87,4,365.9036,2018
pi-jagoldsm,85,1691.15,2,1097.2356,2018
pi-mrsharma,84,1633.63,1,323.5397,2018
pi-sgsg,19,1627.19,2,1603.5472,2018
pi-lekheng,378,1550.82,2,3606.7142,2018
pi-nealey,42,1470.58,1,1143.4758,2018
pi-pchintag,22,1441.28,1,1441.28,2018
mpcs51087,792,1117.18,9,757.3853,2018
pi-rjlalond,67,1077.74,2,870.3397,2018
astr33000,62,1026.31,5,801.0511,2018
pi-adirienz,541,1019.24,1,127.8147,2018
pi-awsch,468,1011.05,3,1023.4986,2018
pi-hdew,292,959.47,2,959.4564,2018
pi-adrobyshevsky,36,881.62,1,690.4264,2018
pi-hsiehchangtai,40,824.26,1,365.745,2018
pi-rtp1,252,793.51,1,789.8925,2018
pi-btian,325,692.65,3,1456.2664,2018
rcc-guest,159,656.6,21,362.8886,2018
pi-scrosson,30,623.7,1,104.9689,2018
pi-nissa1,12,595.3,1,457.9289,2018
pi-rrock,265,584.72,2,456.8208,2018
pi-rwiersma,2,500.26,1,20.0103,2018
pi-rayid,105,443.37,3,383.2839,2018
mpcs56420,1270,315.32,6,54.5625,2018
ppha30531,46,284.66,20,230.2803,2018
pi-kelloggr,445,268.73,2,268.6272,2018
pi-wtang,4,220.99,1,169.0506,2018
pi-fritziea,14,172.93,1,22.4233,2018
pi-emunro,39,109.85,2,1221.9906,2018
stat37820,95,99.76,11,85.9369,2018
pi-fabrycky,875,82.78,6,129253.9311,2018
pi-tuecke,255,71.87,1,39.9456,2018
pi-mlong,38,67.63,1,67.6597,2018
pi-sokolov,26,48.71,1,8.7961,2018
pi-jfrieman,18,44.36,1,41.0133,2018
pi-anselin,50,43.37,2,8.3483,2018
pi-hickmanbr,7,42.76,1,20.2636,2018
pi-hfrisch,3,38.49,1,38.4933,2018
pi-sraudenb,12,36.49,1,36.4883,2018
pi-junchenj,21,35.57,2,8.0297,2018
pi-lamadon,12,31.98,1,14.7414,2018
pi-manishap,1,24.01,1,24.0078,2018
pi-hoytlong,310,22.71,1,4.66,2018
pi-tays,56,14.19,1,16.3961,2018
pi-mhereld,71,11.89,1,11.5639,2018
pi-jhr,6,11.85,1,2.2783,2018
chem26800,414,8.1,8,4.1053,2018
pi-abinkowski,94,6.34,2,4.7375,2018
pi-qitiguo,7,3.89,1,3.8931,2018
pi-tzeferacos,12,3.14,1,3.1339,2018
pi-sarice,22,2.6,2,2.4972,2018
pi-joshuaelliott,3,2.58,1,2.6869,2018
pi-xczhang,7,2.02,1,0.6344,2018
pi-anants,1,2.0,1,2.0039,2018
pi-bpopko,4,1.57,1,1.2261,2018
pi-gb11,2,0.79,1,0.7958,2018
pi-nchevrier,3,0.75,1,0.7461,2018
pi-aruthenburg,40,0.72,1,0.2489,2018
hgen47100,8,0.2,1,0.1556,2018
pi-michalis,3,0.19,1,0.1444,2018
pi-tokmakoff,2564,0.02,3,22585.0003,2018
pi-iawad,284,0.0,6,4644.78,2018
econ29800,8,0.0,1,2.5717,2018
weare-dinner,238988,0.0,12,971144.1111,2018
pi-dbrentari,1,0.0,1,0.0003,2018
mscagpu,1001,0.0,24,1122.8508,2018
pi-chard,1513,0.0,1,6.2753,2018
pi-mkronforst,2,0.0,1,0.0019,2018
pi-imoskowitz,1,0.0,1,0.2133,2018
epic,63,0.0,1,112997.5544,2018
pi-kettimut,28,0.0,1,2072.3022,2018
mxcheng,2,0.0,1,0.0,2018
astroplasmas,1703,0.0,9,3734424.7606,2018
pi-tanhuan,24,0.0,1,629.7044,2018
pi-yamuna,2941,0.0,1,7555.4889,2018
kicp,69025,0.0,27,1142265.2292,2018
pi-mlzhao,139,0.0,2,6351.0069,2018
pi-mcoates,1,0.0,1,0.1711,2018
cron-account,24729,0.0,8,109.4342,2018
surph,825,0.0,5,442354.3164,2018
pi-eperozo,361,0.0,4,45885.1972,2018
