account,jobs,su,users,cpuhours,cycle
pi-depablo,204388,3169284.33,34,10034364.585,2018
pi-gavoth,53016,2907503.12,34,13939135.1811,2018
pi-gagalli,22067,2617346.6,25,6871070.8339,2018
pi-roux,502916,2143337.05,18,4155103.8978,2018
pi-arzhetsky,8334,2017900.07,11,443233.2606,2018
pi-dinner,137532,2001120.57,17,1529256.935,2018
pi-dachxiu,119090,1680651.72,12,817367.7311,2018
pi-ishanu,175678,1357052.46,6,992704.8169,2018
pi-mstephens,144073,1253289.52,21,538014.9975,2018
pi-priviter,29962,1174385.99,5,892585.1308,2018
pi-freed,1021,1163076.77,8,894793.1353,2018
pi-weare,21709,1155951.58,5,858646.3158,2018
pi-vmbertho,347,1134921.48,1,1134921.4844,2018
pi-kite,2905,1054944.63,8,868333.9089,2018
pi-trsosnic,17119,925327.29,8,448558.8694,2018
pi-whu5,5337,819770.02,6,819297.8944,2018
pi-yanjingl,3252,811343.0,2,538420.1756,2018
pi-mengjiechen,14183,746684.44,1,31764.7542,2018
pi-gnedin,383,672376.91,2,647491.6567,2018
pi-mfj,2083,668527.63,6,1258121.78,2018
pi-taddy,10148,662910.58,5,346371.4014,2018
pi-gdwyer,8500,651687.9,7,346622.6236,2018
pi-rkessler,471451,631836.51,16,619528.1547,2018
pi-lgrandi,4516730,627127.82,69,1218289.6789,2018
pi-srnagel,19656,583070.13,2,38567.8947,2018
pi-sdodelso,1924,563439.5,4,563437.8767,2018
pi-gilad,265763,532719.94,15,126198.3994,2018
pi-svaikunt,51160,504120.43,5,1157265.4703,2018
pi-abbot,39328,488046.63,4,367822.7697,2018
pi-cobey,316934,452816.18,6,562318.1544,2018
pi-avieregg,26456,441671.32,5,329025.5142,2018
pi-ghitsch,44513,433722.86,1,272851.2186,2018
pi-jlskinner,46886,411161.99,4,401620.1642,2018
pi-khanna7,193,405402.0,3,311710.8653,2018
pi-xinhe,257569,378201.46,11,80213.9261,2018
pi-gkaplan,1260,368749.39,3,55448.7242,2018
pi-amurugan,603,357677.76,3,339421.6697,2018
pi-kravtsov,1358,332000.45,8,278120.6794,2018
pi-hortacsu,7874,329044.83,6,222972.155,2018
pi-moyer,1882,280507.3,6,198392.1661,2018
pi-pascualmm,37893,276228.1,7,71458.95,2018
pi-nnn,479,231432.06,2,178013.7175,2018
pi-ejadams,754,229598.27,1,177562.4156,2018
pi-jdingel,35518,228554.19,5,154245.0242,2018
bphs35001,1317,197372.19,6,195043.2181,2018
pi-yangili1,139095,183675.54,6,49283.0967,2018
pi-wenbinlin,2266,181742.47,1,171711.8978,2018
pi-weberm,10884,174388.37,2,23543.9697,2018
pi-berkelbach,32989,172903.17,9,88124.4483,2018
pi-jheckman,3131,165840.5,1,310737.7011,2018
pi-vavra,33711,161979.44,1,112908.5211,2018
pi-levin,11654,161454.92,5,94494.805,2018
pi-aaz,204,152996.39,2,109182.8567,2018
msca,1857,147134.68,61,57066.235,2018
rcc-staff,37598,144524.08,18,109604.33,2018
bios10603,791,131550.12,33,101312.815,2018
pi-rtsay,4,126511.41,1,97316.4656,2018
pi-l332,1380,115457.69,2,46092.7025,2018
pi-jhuangime,503,113010.54,1,8372.7214,2018
pi-jsolway,4752,112938.47,1,3968.7506,2018
pi-nicho,221,103045.02,3,47412.6856,2018
pi-foster,9663,90738.04,4,90723.9372,2018
pi-jnovembre,114703,89394.37,15,213529.3511,2018
pi-nfschere,290,82829.09,2,82828.8567,2018
pi-jozik,302,78581.88,4,50250.7658,2018
pi-jaeger,537,78567.5,4,165007.7717,2018
pi-stin,935,58587.37,2,43001.6225,2018
pi-caprioli,13577,58042.1,2,44657.7689,2018
pi-tas1,13391,56444.32,13,971088.6375,2018
pi-mrust,134,55930.16,1,46161.5778,2018
pi-neiman,6224,54788.52,3,31272.3364,2018
pi-oto,67,50503.77,1,38849.1253,2018
pi-dholz,4375,47602.63,3,37961.5611,2018
pi-mkolar,7313,47186.94,4,40731.5842,2018
pi-awh,2347,47011.02,5,24529.5494,2018
pi-jrussell,7591,46407.11,1,31831.6108,2018
pi-mlcoleman,5596,44194.87,6,168968.7589,2018
pi-littlewood,1087,41965.72,1,34481.2389,2018
pi-lhansen,7668,40362.24,1,25341.5644,2018
pi-risi,656,36382.76,4,37385.8553,2018
pi-tcovert,817,34627.92,4,44214.8531,2018
pi-bursztyn,646,34109.58,1,9326.2056,2018
pi-vprince,766,32637.72,5,6433.5675,2018
pi-blattman,49,30765.68,1,5488.3453,2018
pi-jwal,2985,29636.91,1,202359.8381,2018
pi-gilbertjack,177,27814.69,4,348.2236,2018
pi-tten,94,27797.34,1,23315.5444,2018
pi-jingyifei,2696,26275.72,2,25465.6397,2018
pi-burhan,490,26083.87,1,2945.0903,2018
pi-kavibhalla,1214,26011.97,3,7062.7542,2018
pi-baderk,656,25357.08,3,24617.5939,2018
bios26120,328,24442.93,20,17595.9603,2018
pi-sepalmer,3313,24236.49,5,21608.3319,2018
pi-skeedy,181,22971.03,4,22589.4869,2018
pi-chuanhe,451,22341.44,1,9467.2928,2018
msca32017,551,21311.82,21,16393.7611,2018
pi-tintelnot,1001,21080.61,4,16433.7367,2018
pi-scicala,33,20810.48,1,16148.1278,2018
bios10602,2177,20678.35,36,16035.1383,2018
pi-rwg,44809,19831.65,5,19754.8086,2018
pi-uakcigit,164,18670.78,1,1455.8286,2018
pi-ftchong,506,17127.33,2,196.2458,2018
pi-aachien,462,17032.77,3,8130.2794,2018
pi-gconstan,131,16398.63,1,12622.9381,2018
pi-dis,13097,15883.1,3,14791.5417,2018
pi-jevans,30,14710.07,2,10686.7525,2018
pi-kazutaka,117,14350.48,3,13894.3094,2018
